n0050
Sun Sep 20 10:31:09 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
env_id=SafetyCarCircle2-v0
state_dim=41
action_dim=2
max_action=1.0
max_episode_steps=1000
SafetyCircleMarginCMDP: Using safety_clearance=0.3000 with cost_scale=1000.0000, obs_cost_scale=1000.0000, beta=0.0100
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
Using device: cpu
evaluate_num:1 	 evaluate_reward:-0.03033952465486779 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: -0.03033952465486779 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9848251938819885 0.2 0.7848252058029175
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9848251938819885 0.2 0.7848252058029175
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9848251938819885 0.2 0.7848252058029175
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9848251938819885 0.2 0.7848252058029175
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9848251938819885 0.2 0.7848252058029175
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7062941193580627 0.2 0.5062941312789917
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7062941193580627 0.2 0.5062941312789917
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7062941193580627 0.2 0.5062941312789917
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7062941193580627 0.2 0.5062941312789917
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7062941193580627 0.2 0.5062941312789917
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.747352123260498 0.2 0.547352135181427
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.747352123260498 0.2 0.547352135181427
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.747352123260498 0.2 0.547352135181427
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.747352123260498 0.2 0.547352135181427
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.747352123260498 0.2 0.547352135181427
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3389832377433777 0.2 0.13898323476314545
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3389832377433777 0.2 0.13898323476314545
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3389832377433777 0.2 0.13898323476314545
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3389832377433777 0.2 0.13898323476314545
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3389832377433777 0.2 0.13898323476314545
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49561309814453125 0.2 0.2956131100654602
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49561309814453125 0.2 0.2956131100654602
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49561309814453125 0.2 0.2956131100654602
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49561309814453125 0.2 0.2956131100654602
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49561309814453125 0.2 0.2956131100654602
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5844824910163879 0.2 0.3844825029373169
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5844824910163879 0.2 0.3844825029373169
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5844824910163879 0.2 0.3844825029373169
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5844824910163879 0.2 0.3844825029373169
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5844824910163879 0.2 0.3844825029373169
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.554665207862854 0.2 0.35466521978378296
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.554665207862854 0.2 0.35466521978378296
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.554665207862854 0.2 0.35466521978378296
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.554665207862854 0.2 0.35466521978378296
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.554665207862854 0.2 0.35466521978378296
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.20639565587043762 0.2 0.006395652890205383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.20639565587043762 0.2 0.006395652890205383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.20639565587043762 0.2 0.006395652890205383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.20639565587043762 0.2 0.006395652890205383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.20639565587043762 0.2 0.006395652890205383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.19685526192188263 0.2 -0.0031447410583496094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.19685526192188263 0.2 -0.0031447410583496094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.19685526192188263 0.2 -0.0031447410583496094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.19685526192188263 0.2 -0.0031447410583496094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.19685526192188263 0.2 -0.0031447410583496094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4869413673877716 0.2 0.2869413495063782
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4869413673877716 0.2 0.2869413495063782
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4869413673877716 0.2 0.2869413495063782
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4869413673877716 0.2 0.2869413495063782
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4869413673877716 0.2 0.2869413495063782
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.447453111410141 0.2 0.24745310842990875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.447453111410141 0.2 0.24745310842990875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.447453111410141 0.2 0.24745310842990875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.447453111410141 0.2 0.24745310842990875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.447453111410141 0.2 0.24745310842990875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3032699227333069 0.2 0.10326991975307465
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3032699227333069 0.2 0.10326991975307465
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3032699227333069 0.2 0.10326991975307465
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3032699227333069 0.2 0.10326991975307465
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3032699227333069 0.2 0.10326991975307465
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.09619153290987015 0.2 -0.10380847007036209
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.09619153290987015 0.2 -0.10380847007036209
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.09619153290987015 0.2 -0.10380847007036209
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.09619153290987015 0.2 -0.10380847007036209
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.09619153290987015 0.2 -0.10380847007036209
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.0 0.2 -0.20000000298023224
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4150432050228119 0.2 0.21504320204257965
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4150432050228119 0.2 0.21504320204257965
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4150432050228119 0.2 0.21504320204257965
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4150432050228119 0.2 0.21504320204257965
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4150432050228119 0.2 0.21504320204257965
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49048635363578796 0.2 0.29048633575439453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49048635363578796 0.2 0.29048633575439453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49048635363578796 0.2 0.29048633575439453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49048635363578796 0.2 0.29048633575439453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.49048635363578796 0.2 0.29048633575439453
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6055552363395691 0.2 0.40555524826049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6055552363395691 0.2 0.40555524826049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6055552363395691 0.2 0.40555524826049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6055552363395691 0.2 0.40555524826049805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.6055552363395691 0.2 0.40555524826049805
evaluate_num:2 	 evaluate_reward:-1.1742813793003253 	 evaluate_cost:0.9591467475385427 	 evaluate_max_cost:0.10443116929609086
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7317233681678772 0.2 0.5317233800888062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7317233681678772 0.2 0.5317233800888062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7317233681678772 0.2 0.5317233800888062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7317233681678772 0.2 0.5317233800888062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.7317233681678772 0.2 0.5317233800888062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4550488591194153 0.2 0.25504887104034424
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4550488591194153 0.2 0.25504887104034424
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4550488591194153 0.2 0.25504887104034424
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4550488591194153 0.2 0.25504887104034424
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4550488591194153 0.2 0.25504887104034424
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.39381298422813416 0.2 0.19381298124790192
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.39381298422813416 0.2 0.19381298124790192
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.39381298422813416 0.2 0.19381298124790192
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.39381298422813416 0.2 0.19381298124790192
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.39381298422813416 0.2 0.19381298124790192
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3575897812843323 0.2 0.15758977830410004
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3575897812843323 0.2 0.15758977830410004
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3575897812843323 0.2 0.15758977830410004
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3575897812843323 0.2 0.15758977830410004
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3575897812843323 0.2 0.15758977830410004
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5248429775238037 0.2 0.32484298944473267
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5248429775238037 0.2 0.32484298944473267
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5248429775238037 0.2 0.32484298944473267
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5248429775238037 0.2 0.32484298944473267
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5248429775238037 0.2 0.32484298944473267
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4428187310695648 0.2 0.24281872808933258
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4428187310695648 0.2 0.24281872808933258
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4428187310695648 0.2 0.24281872808933258
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4428187310695648 0.2 0.24281872808933258
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4428187310695648 0.2 0.24281872808933258
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.602144181728363 0.2 0.402144193649292
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.602144181728363 0.2 0.402144193649292
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.602144181728363 0.2 0.402144193649292
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.602144181728363 0.2 0.402144193649292
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.602144181728363 0.2 0.402144193649292
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4411722719669342 0.2 0.24117226898670197
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4411722719669342 0.2 0.24117226898670197
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4411722719669342 0.2 0.24117226898670197
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4411722719669342 0.2 0.24117226898670197
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4411722719669342 0.2 0.24117226898670197
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4461345672607422 0.2 0.24613456428050995
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4461345672607422 0.2 0.24613456428050995
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4461345672607422 0.2 0.24613456428050995
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4461345672607422 0.2 0.24613456428050995
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.4461345672607422 0.2 0.24613456428050995
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3882550597190857 0.2 0.18825505673885345
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3882550597190857 0.2 0.18825505673885345
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3882550597190857 0.2 0.18825505673885345
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.3882550597190857 0.2 0.18825505673885345
