n0050
Sun Sep 20 10:28:19 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 101 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
ch, vs_mean, vl_pi, beta penalty= 0 0.5418620109558105 0.5200914740562439 9602.744140625
ch, vs_mean, vl_pi, beta penalty= 0 0.3219507336616516 1.0465435981750488 25396.30859375
ch, vs_mean, vl_pi, beta penalty= 0 0.18865418434143066 0.8888068199157715 20664.205078125
ch, vs_mean, vl_pi, beta penalty= 0 0.11731979995965958 0.9181071519851685 21543.21484375
ch, vs_mean, vl_pi, beta penalty= 0 0.08372406661510468 0.8673779964447021 20021.33984375
ch, vs_mean, vl_pi, beta penalty= 0 0.07431265711784363 0.7734086513519287 17202.259765625
ch, vs_mean, vl_pi, beta penalty= 0 0.06916744261980057 0.7701151371002197 17103.455078125
ch, vs_mean, vl_pi, beta penalty= 0 0.06170938163995743 0.7948721051216125 17846.1640625
ch, vs_mean, vl_pi, beta penalty= 0 0.05372355878353119 0.8259060382843018 18777.181640625
ch, vs_mean, vl_pi, beta penalty= 0 0.04681841656565666 0.8476033210754395 19428.099609375
ch, vs_mean, vl_pi, beta penalty= 0 0.016133680939674377 0.9518627524375916 22555.8828125
ch, vs_mean, vl_pi, beta penalty= 0 -0.005657004192471504 0.9606618881225586 22819.857421875
ch, vs_mean, vl_pi, beta penalty= 0 -0.020449424162507057 0.9519729018211365 22559.1875
ch, vs_mean, vl_pi, beta penalty= 0 -0.03187490999698639 0.9441006779670715 22323.021484375
ch, vs_mean, vl_pi, beta penalty= 0 -0.039709147065877914 0.910433292388916 21313.0
ch, vs_mean, vl_pi, beta penalty= 0 -0.04492613673210144 1.389143705368042 35674.30859375
ch, vs_mean, vl_pi, beta penalty= 0 -0.036171313375234604 1.3431226015090942 34293.67578125
ch, vs_mean, vl_pi, beta penalty= 0 -0.034954093396663666 1.2550073862075806 31650.220703125
ch, vs_mean, vl_pi, beta penalty= 0 -0.03102070651948452 1.1797349452972412 29392.048828125
ch, vs_mean, vl_pi, beta penalty= 0 -0.03150508552789688 1.132412075996399 27972.36328125
ch, vs_mean, vl_pi, beta penalty= 0 0.005788564216345549 1.025330662727356 24759.919921875
ch, vs_mean, vl_pi, beta penalty= 0 0.06217667832970619 0.9854121804237366 23562.365234375
ch, vs_mean, vl_pi, beta penalty= 0 0.09748882800340652 0.956351101398468 22690.533203125
ch, vs_mean, vl_pi, beta penalty= 0 0.1247626543045044 0.9601532220840454 22804.59765625
ch, vs_mean, vl_pi, beta penalty= 0 0.1424221396446228 0.9523916840553284 22571.75
ch, vs_mean, vl_pi, beta penalty= 0 0.10052261501550674 0.8921485543251038 20764.45703125
