n0093
Tue Mar 31 10:06:01 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 17 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:52.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
ch, vs_mean, vl_pi, beta penalty= 0 0.006694882642477751 14.421409606933594 310.53524017333984
evaluate_num:2 	 evaluate_reward:34.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
ch, vs_mean, vl_pi, beta penalty= 0 8.23387622833252 15.851661682128906 346.29154205322266
ch, vs_mean, vl_pi, beta penalty= 0 14.778709411621094 13.363219261169434 284.08048152923584
ch, vs_mean, vl_pi, beta penalty= 0 18.900033950805664 14.395002365112305 309.8750591278076
evaluate_num:3 	 evaluate_reward:54.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
ch, vs_mean, vl_pi, beta penalty= 0 21.10712432861328 19.566007614135742 439.15019035339355
ch, vs_mean, vl_pi, beta penalty= 0 28.333293914794922 21.314985275268555 482.87463188171387
ch, vs_mean, vl_pi, beta penalty= 0 39.985740661621094 19.338254928588867 433.4563732147217
ch, vs_mean, vl_pi, beta penalty= 0 48.95682907104492 17.591846466064453 389.7961616516113
ch, vs_mean, vl_pi, beta penalty= 0 54.302547454833984 15.754009246826172 343.8502311706543
ch, vs_mean, vl_pi, beta penalty= 0 57.74064636230469 15.058366775512695 326.4591693878174
ch, vs_mean, vl_pi, beta penalty= 0 62.61688995361328 14.268842697143555 306.72106742858887
ch, vs_mean, vl_pi, beta penalty= 0 65.5677490234375 14.010854721069336 300.2713680267334
ch, vs_mean, vl_pi, beta penalty= 0 67.72201538085938 13.823284149169922 295.58210372924805
ch, vs_mean, vl_pi, beta penalty= 0 68.78713989257812 13.666289329528809 291.6572332382202
ch, vs_mean, vl_pi, beta penalty= 0 71.648193359375 13.453714370727539 286.3428592681885
evaluate_num:4 	 evaluate_reward:313.6666666666667 	 evaluate_cost:186.287897429151 	 evaluate_max_cost:12.409390758194636
ch, vs_mean, vl_pi, beta penalty= 1 73.22566986083984 13.310307502746582 282.75768756866455
ch, vs_mean, vl_pi, beta penalty= 1 76.47603607177734 21.814529418945312 495.3632354736328
ch, vs_mean, vl_pi, beta penalty= 1 75.77704620361328 16.004871368408203 350.1217842102051
ch, vs_mean, vl_pi, beta penalty= 1 81.46470642089844 13.052515029907227 276.31287574768066
ch, vs_mean, vl_pi, beta penalty= 1 82.94258880615234 13.878856658935547 296.9714164733887
ch, vs_mean, vl_pi, beta penalty= 1 79.40594482421875 20.927114486694336 473.1778621673584
ch, vs_mean, vl_pi, beta penalty= 1 83.26849365234375 10.0 200.0
ch, vs_mean, vl_pi, beta penalty= 1 81.92488098144531 14.331472396850586 308.28680992126465
ch, vs_mean, vl_pi, beta penalty= 1 83.24948120117188 13.736833572387695 293.4208393096924
ch, vs_mean, vl_pi, beta penalty= 1 83.2791976928711 12.460367202758789 261.5091800689697
ch, vs_mean, vl_pi, beta penalty= 1 83.29412078857422 12.824056625366211 270.6014156341553
ch, vs_mean, vl_pi, beta penalty= 1 83.263916015625 13.608245849609375 290.2061462402344
ch, vs_mean, vl_pi, beta penalty= 1 82.80915069580078 13.533864974975586 288.34662437438965
ch, vs_mean, vl_pi, beta penalty= 1 83.29167175292969 10.0 200.0
