n0008
Sun Mar 29 03:18:18 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 1 seed= 1 env= CartPolePerturbedEnv
env=CartPolePerturbedEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:3.6481188041446906 	 evaluate_max_cost:1.1946760078028644
ch, vs_mean, vl_pi, beta penalty= 0 0.031178608536720276 44.588497161865234 1106.4624290466309
ch, vs_mean, vl_pi, beta penalty= 0 7.441465854644775 33.73097229003906 835.0243072509766
evaluate_num:2 	 evaluate_reward:41.666666666666664 	 evaluate_cost:3.9417391101536374 	 evaluate_max_cost:1.1689133046431668
ch, vs_mean, vl_pi, beta penalty= 0 14.693581581115723 33.321739196777344 824.7934799194336
ch, vs_mean, vl_pi, beta penalty= 0 18.630327224731445 34.60856628417969 856.9641571044922
evaluate_num:3 	 evaluate_reward:114.0 	 evaluate_cost:4.426471947561875 	 evaluate_max_cost:1.143715487476317
ch, vs_mean, vl_pi, beta penalty= 0 23.144014358520508 33.2967529296875 824.1688232421875
ch, vs_mean, vl_pi, beta penalty= 0 31.635990142822266 35.30450439453125 874.3626098632812
ch, vs_mean, vl_pi, beta penalty= 0 42.532493591308594 35.65400695800781 883.1001739501953
ch, vs_mean, vl_pi, beta penalty= 0 49.49217224121094 12.165925025939941 295.89812564849854
ch, vs_mean, vl_pi, beta penalty= 0 56.144775390625 7.716342926025391 184.65857315063477
ch, vs_mean, vl_pi, beta penalty= 0 61.37922286987305 18.789966583251953 461.4991645812989
ch, vs_mean, vl_pi, beta penalty= 0 64.45549774169922 15.310955047607422 374.52387619018555
ch, vs_mean, vl_pi, beta penalty= 0 66.81232452392578 9.169958114624023 220.9989528656006
ch, vs_mean, vl_pi, beta penalty= 0 69.21515655517578 47.764835357666016 1185.8708839416504
ch, vs_mean, vl_pi, beta penalty= 0 68.57235717773438 48.124107360839844 1194.852684020996
ch, vs_mean, vl_pi, beta penalty= 0 72.03047180175781 11.182433128356934 271.31082820892334
ch, vs_mean, vl_pi, beta penalty= 0 73.8847427368164 15.207012176513672 371.9253044128418
ch, vs_mean, vl_pi, beta penalty= 0 75.22930145263672 15.852577209472656 388.0644302368164
ch, vs_mean, vl_pi, beta penalty= 0 74.88764953613281 54.275760650634766 1348.6440162658691
ch, vs_mean, vl_pi, beta penalty= 0 76.51029205322266 56.044647216796875 1392.8661804199219
evaluate_num:4 	 evaluate_reward:292.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 292.0 and max cost: 0.0
ch, vs_mean, vl_pi, beta penalty= 0 76.72540283203125 29.227035522460938 722.4258880615234
ch, vs_mean, vl_pi, beta penalty= 0 78.18111419677734 24.215295791625977 597.1323947906494
ch, vs_mean, vl_pi, beta penalty= 0 82.22459411621094 11.821985244750977 287.2996311187744
ch, vs_mean, vl_pi, beta penalty= 0 85.84017181396484 16.610868453979492 407.02171134948736
ch, vs_mean, vl_pi, beta penalty= 0 86.58467102050781 11.171706199645996 271.0426549911499
ch, vs_mean, vl_pi, beta penalty= 0 87.38340759277344 14.116761207580566 344.66903018951416
ch, vs_mean, vl_pi, beta penalty= 0 86.93608093261719 15.270600318908691 373.5150079727173
ch, vs_mean, vl_pi, beta penalty= 0 88.47685241699219 16.070262908935547 393.5065727233887
ch, vs_mean, vl_pi, beta penalty= 0 82.6072998046875 23.989219665527344 591.4804916381836
ch, vs_mean, vl_pi, beta penalty= 0 89.51079559326172 16.138914108276367 395.2228527069092
ch, vs_mean, vl_pi, beta penalty= 0 89.4455795288086 19.527223587036133 479.9305896759034
ch, vs_mean, vl_pi, beta penalty= 0 89.21835327148438 16.034282684326172 392.6070671081543
ch, vs_mean, vl_pi, beta penalty= 0 83.18864440917969 13.64790153503418 332.9475383758545
ch, vs_mean, vl_pi, beta penalty= 0 86.32318878173828 20.771812438964844 511.04531097412115
ch, vs_mean, vl_pi, beta penalty= 0 87.22823333740234 17.843687057495117 437.842176437378
ch, vs_mean, vl_pi, beta penalty= 0 87.90461730957031 27.88058090209961 688.7645225524902
ch, vs_mean, vl_pi, beta penalty= 0 93.00578308105469 15.113554954528809 369.5888738632202
ch, vs_mean, vl_pi, beta penalty= 0 89.40118408203125 26.215435028076172 647.1358757019043
ch, vs_mean, vl_pi, beta penalty= 0 90.42010498046875 23.165163040161133 570.8790760040283
ch, vs_mean, vl_pi, beta penalty= 0 90.91215515136719 30.041948318481445 742.7987079620361
ch, vs_mean, vl_pi, beta penalty= 0 77.23046112060547 33.025230407714844 817.3807601928711
ch, vs_mean, vl_pi, beta penalty= 0 87.68958282470703 26.835817337036133 662.6454334259033
