n0107
Tue Mar 31 11:12:23 AM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 7 seed= 3 env= CartPoleCostEnv
env=CartPoleCostEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:32.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:2 	 evaluate_reward:35.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:3 	 evaluate_reward:52.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:4 	 evaluate_reward:45.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:5 	 evaluate_reward:50.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:6 	 evaluate_reward:84.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:7 	 evaluate_reward:42.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:8 	 evaluate_reward:41.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:9 	 evaluate_reward:61.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:10 	 evaluate_reward:44.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:11 	 evaluate_reward:60.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:12 	 evaluate_reward:51.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:13 	 evaluate_reward:53.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:14 	 evaluate_reward:64.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:15 	 evaluate_reward:87.66666666666667 	 evaluate_cost:25.223033057317597 	 evaluate_max_cost:11.625248687576848
evaluate_num:16 	 evaluate_reward:66.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:17 	 evaluate_reward:63.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:18 	 evaluate_reward:57.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:19 	 evaluate_reward:64.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:20 	 evaluate_reward:63.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:21 	 evaluate_reward:64.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:22 	 evaluate_reward:65.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:23 	 evaluate_reward:66.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:24 	 evaluate_reward:63.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:25 	 evaluate_reward:73.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:26 	 evaluate_reward:85.66666666666667 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:27 	 evaluate_reward:106.0 	 evaluate_cost:29.088310911375974 	 evaluate_max_cost:11.777284995727504
evaluate_num:28 	 evaluate_reward:109.0 	 evaluate_cost:64.64687993963001 	 evaluate_max_cost:12.446782039768625
evaluate_num:29 	 evaluate_reward:109.66666666666667 	 evaluate_cost:48.30020376420217 	 evaluate_max_cost:12.414296931115814
evaluate_num:30 	 evaluate_reward:63.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:31 	 evaluate_reward:56.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:32 	 evaluate_reward:55.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:33 	 evaluate_reward:57.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:34 	 evaluate_reward:54.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:35 	 evaluate_reward:60.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:36 	 evaluate_reward:61.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:37 	 evaluate_reward:64.33333333333333 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
New model found! Saving model with reward: 64.33333333333333 and max cost: 10.0
evaluate_num:38 	 evaluate_reward:62.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
New model found! Saving model with reward: 62.666666666666664 and max cost: 10.0
evaluate_num:39 	 evaluate_reward:63.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
New model found! Saving model with reward: 63.0 and max cost: 10.0
evaluate_num:40 	 evaluate_reward:63.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
New model found! Saving model with reward: 63.666666666666664 and max cost: 10.0
