n0107
Tue Mar 31 12:48:57 PM EDT 2026
/home/sm3934/miniconda3/envs/ipm_rcrl_env/bin/python
run= 7 seed= 1 env= CartPoleCostEnv
env=CartPoleCostEnv
state_dim=4
action_dim=1
max_action=10.0
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:40.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:2 	 evaluate_reward:30.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:3 	 evaluate_reward:51.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:4 	 evaluate_reward:50.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:5 	 evaluate_reward:50.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:6 	 evaluate_reward:46.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:7 	 evaluate_reward:42.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:8 	 evaluate_reward:50.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:9 	 evaluate_reward:45.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:10 	 evaluate_reward:54.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:11 	 evaluate_reward:58.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:12 	 evaluate_reward:43.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:13 	 evaluate_reward:45.666666666666664 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:14 	 evaluate_reward:48.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:15 	 evaluate_reward:72.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:16 	 evaluate_reward:47.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:17 	 evaluate_reward:74.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:18 	 evaluate_reward:73.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:19 	 evaluate_reward:62.333333333333336 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:20 	 evaluate_reward:76.66666666666667 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:21 	 evaluate_reward:88.66666666666667 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:22 	 evaluate_reward:100.66666666666667 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:23 	 evaluate_reward:90.66666666666667 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:24 	 evaluate_reward:102.0 	 evaluate_cost:10.0 	 evaluate_max_cost:10.0
evaluate_num:25 	 evaluate_reward:145.0 	 evaluate_cost:17.555625754920015 	 evaluate_max_cost:11.17557268157428
evaluate_num:26 	 evaluate_reward:143.66666666666666 	 evaluate_cost:61.96090865723417 	 evaluate_max_cost:12.028607901878697
evaluate_num:27 	 evaluate_reward:188.66666666666666 	 evaluate_cost:114.31330139348302 	 evaluate_max_cost:12.12323291902703
evaluate_num:28 	 evaluate_reward:213.33333333333334 	 evaluate_cost:66.87651772667505 	 evaluate_max_cost:10.0
evaluate_num:29 	 evaluate_reward:252.33333333333334 	 evaluate_cost:140.13678224513083 	 evaluate_max_cost:12.41153822533999
evaluate_num:30 	 evaluate_reward:462.6666666666667 	 evaluate_cost:291.032326436964 	 evaluate_max_cost:12.403307896940584
evaluate_num:31 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
New model found! Saving model with reward: 500.0 and max cost: 0
evaluate_num:32 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:33 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:34 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:35 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:36 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:37 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:38 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:39 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
evaluate_num:40 	 evaluate_reward:500.0 	 evaluate_cost:0.0 	 evaluate_max_cost:0
