n0071
Sat Sep 19 04:17:53 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= AntCost k_epochs 5
env=AntCost
state_dim=113
action_dim=8
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:505.8127997901004 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 505.8127997901004 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=0.1038, vl_pi= 0.57797706 beta_penalty= 14339.3125 lambda_mean= [0.69506836] VC_mean= [-0.39667863] d= [0.1]
FAC | warm_start_active=False, vs_mean=-3.8470, vl_pi= 1.063599 beta_penalty= 28907.969 lambda_mean= [0.69506836] VC_mean= [0.3994806] d= [0.1]
FAC | warm_start_active=False, vs_mean=-13.1058, vl_pi= 0.9196807 beta_penalty= 24590.42 lambda_mean= [0.69506836] VC_mean= [0.46906778] d= [0.1]
FAC | warm_start_active=False, vs_mean=-23.5472, vl_pi= 0.93031377 beta_penalty= 24909.412 lambda_mean= [0.69506836] VC_mean= [0.49406648] d= [0.1]
FAC | warm_start_active=False, vs_mean=-31.4816, vl_pi= 0.8737585 beta_penalty= 23212.754 lambda_mean= [0.69506836] VC_mean= [0.53170735] d= [0.1]
FAC | warm_start_active=False, vs_mean=-31.0301, vl_pi= 1.0048348 beta_penalty= 27145.043 lambda_mean= [0.6953327] VC_mean= [0.4965799] d= [0.1]
FAC | warm_start_active=False, vs_mean=-37.2104, vl_pi= 0.92874515 beta_penalty= 24862.354 lambda_mean= [0.6953327] VC_mean= [0.5079541] d= [0.1]
FAC | warm_start_active=False, vs_mean=-40.9231, vl_pi= 0.85626006 beta_penalty= 22687.8 lambda_mean= [0.6953327] VC_mean= [0.5203147] d= [0.1]
FAC | warm_start_active=False, vs_mean=-44.7678, vl_pi= 0.8483842 beta_penalty= 22451.525 lambda_mean= [0.6953327] VC_mean= [0.5460923] d= [0.1]
FAC | warm_start_active=False, vs_mean=-47.2756, vl_pi= 0.8705485 beta_penalty= 23116.453 lambda_mean= [0.6953327] VC_mean= [0.56739694] d= [0.1]
FAC | warm_start_active=False, vs_mean=-44.6741, vl_pi= 0.84159106 beta_penalty= 22247.73 lambda_mean= [0.6953734] VC_mean= [0.5638072] d= [0.1]
FAC | warm_start_active=False, vs_mean=-48.3888, vl_pi= 0.87385887 beta_penalty= 23215.766 lambda_mean= [0.6953734] VC_mean= [0.58006555] d= [0.1]
FAC | warm_start_active=False, vs_mean=-51.6116, vl_pi= 0.84764147 beta_penalty= 22429.244 lambda_mean= [0.6953734] VC_mean= [0.59960175] d= [0.1]
FAC | warm_start_active=False, vs_mean=-54.1480, vl_pi= 0.8323439 beta_penalty= 21970.316 lambda_mean= [0.6953734] VC_mean= [0.5929944] d= [0.1]
FAC | warm_start_active=False, vs_mean=-55.7626, vl_pi= 0.8144404 beta_penalty= 21433.213 lambda_mean= [0.6953734] VC_mean= [0.5925887] d= [0.1]
FAC | warm_start_active=False, vs_mean=-57.3280, vl_pi= 0.88805026 beta_penalty= 23641.508 lambda_mean= [0.69542825] VC_mean= [0.6013516] d= [0.1]
