n0006
Sat Sep 19 04:36:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 5 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:537.7318863089796 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 537.7318863089796 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=0.0806, vl_pi= 0.38927984 beta_penalty= 8678.3955 lambda_mean= [0.69433486] VC_mean= [-0.1912585] d= [0.1]
FAC | warm_start_active=False, vs_mean=21.2237, vl_pi= 0.6540873 beta_penalty= 16622.62 lambda_mean= [0.69433486] VC_mean= [0.32897726] d= [0.1]
FAC | warm_start_active=False, vs_mean=31.7193, vl_pi= 0.86517984 beta_penalty= 22955.395 lambda_mean= [0.69433486] VC_mean= [0.41529682] d= [0.1]
FAC | warm_start_active=False, vs_mean=39.4179, vl_pi= 0.937306 beta_penalty= 25119.18 lambda_mean= [0.69433486] VC_mean= [0.4727438] d= [0.1]
FAC | warm_start_active=False, vs_mean=44.6024, vl_pi= 0.9382815 beta_penalty= 25148.443 lambda_mean= [0.69433486] VC_mean= [0.5085931] d= [0.1]
FAC | warm_start_active=False, vs_mean=59.7592, vl_pi= 1.0297061 beta_penalty= 27891.184 lambda_mean= [0.6946792] VC_mean= [0.5742485] d= [0.1]
FAC | warm_start_active=False, vs_mean=67.1183, vl_pi= 1.0165504 beta_penalty= 27496.512 lambda_mean= [0.6946792] VC_mean= [0.5867089] d= [0.1]
FAC | warm_start_active=False, vs_mean=69.0191, vl_pi= 1.0001647 beta_penalty= 27004.941 lambda_mean= [0.6946792] VC_mean= [0.60034394] d= [0.1]
FAC | warm_start_active=False, vs_mean=73.6216, vl_pi= 0.97189456 beta_penalty= 26156.836 lambda_mean= [0.6946792] VC_mean= [0.6036088] d= [0.1]
FAC | warm_start_active=False, vs_mean=74.5287, vl_pi= 0.9894065 beta_penalty= 26682.195 lambda_mean= [0.6946792] VC_mean= [0.607729] d= [0.1]
FAC | warm_start_active=False, vs_mean=74.5878, vl_pi= 0.94968444 beta_penalty= 25490.533 lambda_mean= [0.69464344] VC_mean= [0.5813771] d= [0.1]
FAC | warm_start_active=False, vs_mean=79.3008, vl_pi= 0.8901247 beta_penalty= 23703.74 lambda_mean= [0.69464344] VC_mean= [0.58756256] d= [0.1]
FAC | warm_start_active=False, vs_mean=82.8817, vl_pi= 0.8455037 beta_penalty= 22365.11 lambda_mean= [0.69464344] VC_mean= [0.5872408] d= [0.1]
FAC | warm_start_active=False, vs_mean=87.1797, vl_pi= 0.8410879 beta_penalty= 22232.635 lambda_mean= [0.69464344] VC_mean= [0.5810242] d= [0.1]
FAC | warm_start_active=False, vs_mean=91.8884, vl_pi= 0.8330541 beta_penalty= 21991.623 lambda_mean= [0.69464344] VC_mean= [0.5868509] d= [0.1]
FAC | warm_start_active=False, vs_mean=97.8351, vl_pi= 0.93187344 beta_penalty= 24956.203 lambda_mean= [0.69441456] VC_mean= [0.5920421] d= [0.1]
FAC | warm_start_active=False, vs_mean=102.2923, vl_pi= 0.89738923 beta_penalty= 23921.676 lambda_mean= [0.69441456] VC_mean= [0.5902983] d= [0.1]
FAC | warm_start_active=False, vs_mean=105.5926, vl_pi= 0.85014737 beta_penalty= 22504.42 lambda_mean= [0.69441456] VC_mean= [0.58247036] d= [0.1]
FAC | warm_start_active=False, vs_mean=111.0147, vl_pi= 0.8053242 beta_penalty= 21159.725 lambda_mean= [0.69441456] VC_mean= [0.58037436] d= [0.1]
FAC | warm_start_active=False, vs_mean=115.1063, vl_pi= 0.77998024 beta_penalty= 20399.406 lambda_mean= [0.69441456] VC_mean= [0.56994283] d= [0.1]
FAC | warm_start_active=False, vs_mean=114.8223, vl_pi= 0.9293951 beta_penalty= 24881.852 lambda_mean= [0.69456744] VC_mean= [0.589945] d= [0.1]
FAC | warm_start_active=False, vs_mean=114.0332, vl_pi= 0.9197389 beta_penalty= 24592.166 lambda_mean= [0.69456744] VC_mean= [0.5899168] d= [0.1]
FAC | warm_start_active=False, vs_mean=116.7329, vl_pi= 0.8886543 beta_penalty= 23659.629 lambda_mean= [0.69456744] VC_mean= [0.5892628] d= [0.1]
FAC | warm_start_active=False, vs_mean=118.0056, vl_pi= 0.8674032 beta_penalty= 23022.096 lambda_mean= [0.69456744] VC_mean= [0.58532894] d= [0.1]
FAC | warm_start_active=False, vs_mean=119.8748, vl_pi= 0.83259034 beta_penalty= 21977.709 lambda_mean= [0.69456744] VC_mean= [0.57856005] d= [0.1]
FAC | warm_start_active=False, vs_mean=121.2542, vl_pi= 0.74051005 beta_penalty= 19215.3 lambda_mean= [0.6947051] VC_mean= [0.56135416] d= [0.1]
FAC | warm_start_active=False, vs_mean=121.2868, vl_pi= 0.71903914 beta_penalty= 18571.174 lambda_mean= [0.6947051] VC_mean= [0.55634433] d= [0.1]
FAC | warm_start_active=False, vs_mean=123.2497, vl_pi= 0.7122644 beta_penalty= 18367.932 lambda_mean= [0.6947051] VC_mean= [0.5512274] d= [0.1]
FAC | warm_start_active=False, vs_mean=128.3258, vl_pi= 0.7012919 beta_penalty= 18038.758 lambda_mean= [0.6947051] VC_mean= [0.55264443] d= [0.1]
