n0006
Sat Sep 19 04:38:20 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HopperCostEnv k_epochs 5
env=HopperCostEnv
state_dim=11
action_dim=3
max_action=1.0
max_episode_steps=500
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:402.39193093042604 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 402.39193093042604 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=-0.2645, vl_pi= 0.19656554 beta_penalty= 2896.966 lambda_mean= [0.6931454] VC_mean= [-0.22158717] d= [0.1]
FAC | warm_start_active=False, vs_mean=19.3863, vl_pi= 0.72389936 beta_penalty= 18716.98 lambda_mean= [0.6931454] VC_mean= [0.33502126] d= [0.1]
FAC | warm_start_active=False, vs_mean=29.2032, vl_pi= 0.7772377 beta_penalty= 20317.13 lambda_mean= [0.6931454] VC_mean= [0.4309895] d= [0.1]
FAC | warm_start_active=False, vs_mean=40.0177, vl_pi= 0.78248197 beta_penalty= 20474.459 lambda_mean= [0.6931454] VC_mean= [0.48243326] d= [0.1]
FAC | warm_start_active=False, vs_mean=43.7602, vl_pi= 0.8087659 beta_penalty= 21262.977 lambda_mean= [0.6931454] VC_mean= [0.51668996] d= [0.1]
FAC | warm_start_active=False, vs_mean=58.9492, vl_pi= 1.0360528 beta_penalty= 28081.584 lambda_mean= [0.6933202] VC_mean= [0.5883413] d= [0.1]
FAC | warm_start_active=False, vs_mean=67.4277, vl_pi= 0.97313315 beta_penalty= 26193.994 lambda_mean= [0.6933202] VC_mean= [0.5842048] d= [0.1]
FAC | warm_start_active=False, vs_mean=75.1415, vl_pi= 0.9404415 beta_penalty= 25213.244 lambda_mean= [0.6933202] VC_mean= [0.5871865] d= [0.1]
FAC | warm_start_active=False, vs_mean=80.0543, vl_pi= 0.91618884 beta_penalty= 24485.664 lambda_mean= [0.6933202] VC_mean= [0.5927247] d= [0.1]
FAC | warm_start_active=False, vs_mean=82.9670, vl_pi= 0.9240883 beta_penalty= 24722.648 lambda_mean= [0.6933202] VC_mean= [0.59388345] d= [0.1]
FAC | warm_start_active=False, vs_mean=92.7395, vl_pi= 0.88130355 beta_penalty= 23439.105 lambda_mean= [0.69332373] VC_mean= [0.5706856] d= [0.1]
FAC | warm_start_active=False, vs_mean=92.5414, vl_pi= 0.8328357 beta_penalty= 21985.07 lambda_mean= [0.69332373] VC_mean= [0.5616739] d= [0.1]
FAC | warm_start_active=False, vs_mean=92.4784, vl_pi= 0.79745305 beta_penalty= 20923.59 lambda_mean= [0.69332373] VC_mean= [0.56758237] d= [0.1]
FAC | warm_start_active=False, vs_mean=91.2415, vl_pi= 0.77570236 beta_penalty= 20271.07 lambda_mean= [0.69332373] VC_mean= [0.5658636] d= [0.1]
FAC | warm_start_active=False, vs_mean=92.5506, vl_pi= 0.7730192 beta_penalty= 20190.574 lambda_mean= [0.69332373] VC_mean= [0.56809485] d= [0.1]
FAC | warm_start_active=False, vs_mean=98.0255, vl_pi= 0.89361334 beta_penalty= 23808.4 lambda_mean= [0.69303215] VC_mean= [0.5751303] d= [0.1]
FAC | warm_start_active=False, vs_mean=103.7207, vl_pi= 0.83988714 beta_penalty= 22196.613 lambda_mean= [0.69303215] VC_mean= [0.57129204] d= [0.1]
FAC | warm_start_active=False, vs_mean=107.9504, vl_pi= 0.8133215 beta_penalty= 21399.643 lambda_mean= [0.69303215] VC_mean= [0.57325095] d= [0.1]
FAC | warm_start_active=False, vs_mean=106.8866, vl_pi= 0.78006786 beta_penalty= 20402.035 lambda_mean= [0.69303215] VC_mean= [0.5761672] d= [0.1]
FAC | warm_start_active=False, vs_mean=110.7977, vl_pi= 0.7559632 beta_penalty= 19678.895 lambda_mean= [0.69303215] VC_mean= [0.57213855] d= [0.1]
FAC | warm_start_active=False, vs_mean=113.2888, vl_pi= 0.7547921 beta_penalty= 19643.762 lambda_mean= [0.69294846] VC_mean= [0.5573269] d= [0.1]
