n0071
Sat Sep 19 04:26:14 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 6 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:0.03503666581309517 	 evaluate_max_cost:0.0001025578094413504
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.0001025578094413504
FAC | warm_start_active=False, vs_mean=2.6319, vl_pi= 8.50727 beta_penalty= 2252181.0 lambda_mean= [0.7095684] VC_mean= [1.6979678] d= [1.]
FAC | warm_start_active=False, vs_mean=17.0135, vl_pi= 6.6147532 beta_penalty= 1684426.0 lambda_mean= [0.7095684] VC_mean= [3.0842998] d= [1.]
FAC | warm_start_active=False, vs_mean=39.3686, vl_pi= 5.6477275 beta_penalty= 1394318.2 lambda_mean= [0.7095684] VC_mean= [3.232037] d= [1.]
FAC | warm_start_active=False, vs_mean=78.7859, vl_pi= 5.613411 beta_penalty= 1384023.2 lambda_mean= [0.7095684] VC_mean= [3.2505753] d= [1.]
FAC | warm_start_active=False, vs_mean=143.2689, vl_pi= 5.176947 beta_penalty= 1253084.1 lambda_mean= [0.7095684] VC_mean= [3.2870686] d= [1.]
FAC | warm_start_active=False, vs_mean=210.8208, vl_pi= 5.3430963 beta_penalty= 1302928.9 lambda_mean= [0.7095934] VC_mean= [3.1988225] d= [1.]
FAC | warm_start_active=False, vs_mean=267.2781, vl_pi= 5.0054064 beta_penalty= 1201621.9 lambda_mean= [0.7095934] VC_mean= [3.2745478] d= [1.]
FAC | warm_start_active=False, vs_mean=309.4277, vl_pi= 4.7165294 beta_penalty= 1114958.8 lambda_mean= [0.7095934] VC_mean= [3.2903004] d= [1.]
FAC | warm_start_active=False, vs_mean=347.4167, vl_pi= 4.430876 beta_penalty= 1029262.75 lambda_mean= [0.7095934] VC_mean= [3.2428973] d= [1.]
FAC | warm_start_active=False, vs_mean=368.3885, vl_pi= 4.251701 beta_penalty= 975510.25 lambda_mean= [0.7095934] VC_mean= [3.1753027] d= [1.]
FAC | warm_start_active=False, vs_mean=382.7067, vl_pi= 4.859765 beta_penalty= 1157929.5 lambda_mean= [0.7100324] VC_mean= [3.2846756] d= [1.]
FAC | warm_start_active=False, vs_mean=393.5926, vl_pi= 4.560888 beta_penalty= 1068266.4 lambda_mean= [0.7100324] VC_mean= [3.2378306] d= [1.]
FAC | warm_start_active=False, vs_mean=400.9392, vl_pi= 4.3180647 beta_penalty= 995419.44 lambda_mean= [0.7100324] VC_mean= [3.1707435] d= [1.]
FAC | warm_start_active=False, vs_mean=405.7429, vl_pi= 4.0479755 beta_penalty= 914392.7 lambda_mean= [0.7100324] VC_mean= [3.0663395] d= [1.]
FAC | warm_start_active=False, vs_mean=410.2839, vl_pi= 3.8975947 beta_penalty= 869278.44 lambda_mean= [0.7100324] VC_mean= [2.9083827] d= [1.]
FAC | warm_start_active=False, vs_mean=411.3972, vl_pi= 4.2286716 beta_penalty= 968601.44 lambda_mean= [0.710427] VC_mean= [2.8697758] d= [1.]
FAC | warm_start_active=False, vs_mean=413.6135, vl_pi= 4.0626974 beta_penalty= 918809.25 lambda_mean= [0.710427] VC_mean= [2.8595533] d= [1.]
FAC | warm_start_active=False, vs_mean=420.3214, vl_pi= 3.9493244 beta_penalty= 884797.3 lambda_mean= [0.710427] VC_mean= [2.910491] d= [1.]
FAC | warm_start_active=False, vs_mean=423.8596, vl_pi= 3.6901019 beta_penalty= 807030.56 lambda_mean= [0.710427] VC_mean= [2.8106954] d= [1.]
FAC | warm_start_active=False, vs_mean=431.0311, vl_pi= 3.6597066 beta_penalty= 797912.0 lambda_mean= [0.710427] VC_mean= [2.8024118] d= [1.]
FAC | warm_start_active=False, vs_mean=432.8898, vl_pi= 4.037326 beta_penalty= 911197.75 lambda_mean= [0.71004903] VC_mean= [2.763381] d= [1.]
FAC | warm_start_active=False, vs_mean=436.3764, vl_pi= 3.660196 beta_penalty= 798058.8 lambda_mean= [0.71004903] VC_mean= [2.664319] d= [1.]
FAC | warm_start_active=False, vs_mean=442.1573, vl_pi= 3.431464 beta_penalty= 729439.2 lambda_mean= [0.71004903] VC_mean= [2.677696] d= [1.]
FAC | warm_start_active=False, vs_mean=445.6660, vl_pi= 3.360295 beta_penalty= 708088.5 lambda_mean= [0.71004903] VC_mean= [2.6968062] d= [1.]
FAC | warm_start_active=False, vs_mean=452.7626, vl_pi= 3.3714278 beta_penalty= 711428.3 lambda_mean= [0.71004903] VC_mean= [2.732501] d= [1.]
FAC | warm_start_active=False, vs_mean=459.3883, vl_pi= 3.7587938 beta_penalty= 827638.1 lambda_mean= [0.70952266] VC_mean= [2.7621782] d= [1.]
FAC | warm_start_active=False, vs_mean=461.5478, vl_pi= 3.5326989 beta_penalty= 759809.7 lambda_mean= [0.70952266] VC_mean= [2.6787174] d= [1.]
