n0071
Sat Sep 19 04:27:15 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 1 env= HumanoidWithCost k_epochs 5
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.070827026811 	 evaluate_cost:0.02382837289769668 	 evaluate_max_cost:9.343180136056617e-05
New best model found! Saving model with reward: 4985.070827026811 and max cost: 9.343180136056617e-05
FAC | warm_start_active=False, vs_mean=3.5326, vl_pi= 3.3660414 beta_penalty= 709812.44 lambda_mean= [0.7044652] VC_mean= [-2.8517547] d= [1.]
FAC | warm_start_active=False, vs_mean=18.8384, vl_pi= 7.533642 beta_penalty= 1960092.5 lambda_mean= [0.7044652] VC_mean= [1.8425632] d= [1.]
FAC | warm_start_active=False, vs_mean=43.2978, vl_pi= 5.648929 beta_penalty= 1394678.8 lambda_mean= [0.7044652] VC_mean= [2.3167744] d= [1.]
FAC | warm_start_active=False, vs_mean=85.3172, vl_pi= 4.5566225 beta_penalty= 1066986.8 lambda_mean= [0.7044652] VC_mean= [2.7152448] d= [1.]
FAC | warm_start_active=False, vs_mean=152.0782, vl_pi= 4.4274087 beta_penalty= 1028222.6 lambda_mean= [0.7044652] VC_mean= [2.7335176] d= [1.]
FAC | warm_start_active=False, vs_mean=214.1476, vl_pi= 4.6686354 beta_penalty= 1100590.6 lambda_mean= [0.704113] VC_mean= [2.7247834] d= [1.]
FAC | warm_start_active=False, vs_mean=269.4951, vl_pi= 4.483706 beta_penalty= 1045111.8 lambda_mean= [0.704113] VC_mean= [2.7238173] d= [1.]
FAC | warm_start_active=False, vs_mean=311.6706, vl_pi= 4.2542586 beta_penalty= 976277.56 lambda_mean= [0.704113] VC_mean= [2.7382164] d= [1.]
FAC | warm_start_active=False, vs_mean=343.0453, vl_pi= 4.4802804 beta_penalty= 1044084.1 lambda_mean= [0.704113] VC_mean= [2.8367794] d= [1.]
FAC | warm_start_active=False, vs_mean=364.7968, vl_pi= 4.0075083 beta_penalty= 902252.5 lambda_mean= [0.704113] VC_mean= [2.8103242] d= [1.]
FAC | warm_start_active=False, vs_mean=379.5935, vl_pi= 4.1832585 beta_penalty= 954977.56 lambda_mean= [0.70347667] VC_mean= [2.7090127] d= [1.]
FAC | warm_start_active=False, vs_mean=392.2862, vl_pi= 4.0656943 beta_penalty= 919708.3 lambda_mean= [0.70347667] VC_mean= [2.7796025] d= [1.]
FAC | warm_start_active=False, vs_mean=401.6371, vl_pi= 3.9410279 beta_penalty= 882308.4 lambda_mean= [0.70347667] VC_mean= [2.8361087] d= [1.]
FAC | warm_start_active=False, vs_mean=406.6257, vl_pi= 3.835387 beta_penalty= 850616.1 lambda_mean= [0.70347667] VC_mean= [2.845081] d= [1.]
FAC | warm_start_active=False, vs_mean=409.0533, vl_pi= 4.019994 beta_penalty= 905998.1 lambda_mean= [0.70347667] VC_mean= [2.8879082] d= [1.]
FAC | warm_start_active=False, vs_mean=407.0676, vl_pi= 4.247179 beta_penalty= 974153.7 lambda_mean= [0.70393515] VC_mean= [2.84923] d= [1.]
FAC | warm_start_active=False, vs_mean=418.2170, vl_pi= 3.9065907 beta_penalty= 871977.2 lambda_mean= [0.70393515] VC_mean= [2.783555] d= [1.]
FAC | warm_start_active=False, vs_mean=426.2230, vl_pi= 3.6917505 beta_penalty= 807525.2 lambda_mean= [0.70393515] VC_mean= [2.7622435] d= [1.]
FAC | warm_start_active=False, vs_mean=432.3700, vl_pi= 3.7777903 beta_penalty= 833337.06 lambda_mean= [0.70393515] VC_mean= [2.8327184] d= [1.]
FAC | warm_start_active=False, vs_mean=435.3477, vl_pi= 3.6639552 beta_penalty= 799186.56 lambda_mean= [0.70393515] VC_mean= [2.807579] d= [1.]
FAC | warm_start_active=False, vs_mean=440.4422, vl_pi= 4.0439878 beta_penalty= 913196.3 lambda_mean= [0.7041457] VC_mean= [2.7832844] d= [1.]
FAC | warm_start_active=False, vs_mean=442.5286, vl_pi= 3.9832025 beta_penalty= 894960.75 lambda_mean= [0.7041457] VC_mean= [2.6938736] d= [1.]
FAC | warm_start_active=False, vs_mean=448.4762, vl_pi= 3.5226889 beta_penalty= 756806.7 lambda_mean= [0.7041457] VC_mean= [2.6193273] d= [1.]
FAC | warm_start_active=False, vs_mean=452.7986, vl_pi= 3.4275792 beta_penalty= 728273.75 lambda_mean= [0.7041457] VC_mean= [2.7017007] d= [1.]
FAC | warm_start_active=False, vs_mean=453.4355, vl_pi= 3.433676 beta_penalty= 730102.8 lambda_mean= [0.7041457] VC_mean= [2.7127976] d= [1.]
