n0006
Sat Sep 19 04:45:51 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 501 seed= 1 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:9.715869188129492 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 9.715869188129492 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=-0.1610, vl_pi= 0.51408505 beta_penalty= 12422.552 lambda_mean= [0.6939531] VC_mean= [0.15020327] d= [0.1]
FAC | warm_start_active=False, vs_mean=0.8980, vl_pi= 0.62792176 beta_penalty= 15837.652 lambda_mean= [0.6939531] VC_mean= [0.3439112] d= [0.1]
FAC | warm_start_active=False, vs_mean=3.1320, vl_pi= 0.681911 beta_penalty= 17457.328 lambda_mean= [0.6939531] VC_mean= [0.40078235] d= [0.1]
FAC | warm_start_active=False, vs_mean=8.1212, vl_pi= 0.6910348 beta_penalty= 17731.043 lambda_mean= [0.6939531] VC_mean= [0.43039376] d= [0.1]
FAC | warm_start_active=False, vs_mean=14.0932, vl_pi= 0.66991395 beta_penalty= 17097.418 lambda_mean= [0.6939531] VC_mean= [0.44210672] d= [0.1]
FAC | warm_start_active=False, vs_mean=19.9231, vl_pi= 0.7271381 beta_penalty= 18814.143 lambda_mean= [0.69391] VC_mean= [0.48296946] d= [0.1]
FAC | warm_start_active=False, vs_mean=24.8821, vl_pi= 0.69013387 beta_penalty= 17704.016 lambda_mean= [0.69391] VC_mean= [0.5037342] d= [0.1]
FAC | warm_start_active=False, vs_mean=29.1918, vl_pi= 0.68523085 beta_penalty= 17556.926 lambda_mean= [0.69391] VC_mean= [0.51602185] d= [0.1]
FAC | warm_start_active=False, vs_mean=33.4156, vl_pi= 0.6720323 beta_penalty= 17160.969 lambda_mean= [0.69391] VC_mean= [0.5180396] d= [0.1]
FAC | warm_start_active=False, vs_mean=35.0672, vl_pi= 0.65579486 beta_penalty= 16673.846 lambda_mean= [0.69391] VC_mean= [0.5167712] d= [0.1]
FAC | warm_start_active=False, vs_mean=39.3007, vl_pi= 0.7360232 beta_penalty= 19080.695 lambda_mean= [0.69397694] VC_mean= [0.53546506] d= [0.1]
FAC | warm_start_active=False, vs_mean=46.2868, vl_pi= 0.6992703 beta_penalty= 17978.11 lambda_mean= [0.69397694] VC_mean= [0.53914696] d= [0.1]
FAC | warm_start_active=False, vs_mean=51.2543, vl_pi= 0.6964041 beta_penalty= 17892.123 lambda_mean= [0.69397694] VC_mean= [0.54749227] d= [0.1]
FAC | warm_start_active=False, vs_mean=55.1260, vl_pi= 0.70292836 beta_penalty= 18087.85 lambda_mean= [0.69397694] VC_mean= [0.5515941] d= [0.1]
FAC | warm_start_active=False, vs_mean=58.0771, vl_pi= 0.7055521 beta_penalty= 18166.562 lambda_mean= [0.69397694] VC_mean= [0.5491465] d= [0.1]
FAC | warm_start_active=False, vs_mean=74.4358, vl_pi= 0.76811105 beta_penalty= 20043.33 lambda_mean= [0.69357264] VC_mean= [0.5654955] d= [0.1]
FAC | warm_start_active=False, vs_mean=75.7173, vl_pi= 0.73331153 beta_penalty= 18999.346 lambda_mean= [0.69357264] VC_mean= [0.5585015] d= [0.1]
FAC | warm_start_active=False, vs_mean=77.4488, vl_pi= 0.7079995 beta_penalty= 18239.984 lambda_mean= [0.69357264] VC_mean= [0.5600667] d= [0.1]
FAC | warm_start_active=False, vs_mean=79.0265, vl_pi= 0.68804455 beta_penalty= 17641.336 lambda_mean= [0.69357264] VC_mean= [0.55738] d= [0.1]
