n0006
Sat Sep 19 04:46:49 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 502 seed= 3 env= SwimmerWithPos k_epochs 5
env=SwimmerWithPos
state_dim=10
action_dim=2
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:16.956652678038015 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 16.956652678038015 and max cost: 0.0
FAC | warm_start_active=False, vs_mean=0.0953, vl_pi= 0.25374073 beta_penalty= 4612.222 lambda_mean= [0.6933553] VC_mean= [0.01151038] d= [0.1]
FAC | warm_start_active=False, vs_mean=1.4842, vl_pi= 0.6960592 beta_penalty= 17881.775 lambda_mean= [0.6933553] VC_mean= [0.32593262] d= [0.1]
FAC | warm_start_active=False, vs_mean=5.1104, vl_pi= 0.76299745 beta_penalty= 19889.922 lambda_mean= [0.6933553] VC_mean= [0.42598164] d= [0.1]
FAC | warm_start_active=False, vs_mean=11.4877, vl_pi= 0.7954694 beta_penalty= 20864.082 lambda_mean= [0.6933553] VC_mean= [0.47509572] d= [0.1]
FAC | warm_start_active=False, vs_mean=16.7197, vl_pi= 0.7747274 beta_penalty= 20241.822 lambda_mean= [0.6933553] VC_mean= [0.49050438] d= [0.1]
FAC | warm_start_active=False, vs_mean=22.2197, vl_pi= 0.839153 beta_penalty= 22174.59 lambda_mean= [0.69342655] VC_mean= [0.53570986] d= [0.1]
FAC | warm_start_active=False, vs_mean=27.5652, vl_pi= 0.8447396 beta_penalty= 22342.188 lambda_mean= [0.69342655] VC_mean= [0.5430322] d= [0.1]
FAC | warm_start_active=False, vs_mean=31.0453, vl_pi= 0.8304425 beta_penalty= 21913.273 lambda_mean= [0.69342655] VC_mean= [0.54700136] d= [0.1]
FAC | warm_start_active=False, vs_mean=34.2924, vl_pi= 0.8202628 beta_penalty= 21607.883 lambda_mean= [0.69342655] VC_mean= [0.54787123] d= [0.1]
FAC | warm_start_active=False, vs_mean=36.2456, vl_pi= 0.80153394 beta_penalty= 21046.018 lambda_mean= [0.69342655] VC_mean= [0.5443123] d= [0.1]
FAC | warm_start_active=False, vs_mean=47.0632, vl_pi= 0.6941602 beta_penalty= 17824.807 lambda_mean= [0.69347394] VC_mean= [0.5653306] d= [0.1]
FAC | warm_start_active=False, vs_mean=49.7720, vl_pi= 0.69203275 beta_penalty= 17760.982 lambda_mean= [0.69347394] VC_mean= [0.56409246] d= [0.1]
FAC | warm_start_active=False, vs_mean=51.2289, vl_pi= 0.6724466 beta_penalty= 17173.398 lambda_mean= [0.69347394] VC_mean= [0.5632958] d= [0.1]
FAC | warm_start_active=False, vs_mean=53.2009, vl_pi= 0.67241615 beta_penalty= 17172.484 lambda_mean= [0.69347394] VC_mean= [0.56419307] d= [0.1]
FAC | warm_start_active=False, vs_mean=55.0352, vl_pi= 0.6700019 beta_penalty= 17100.057 lambda_mean= [0.69347394] VC_mean= [0.5566473] d= [0.1]
FAC | warm_start_active=False, vs_mean=56.6434, vl_pi= 0.71860224 beta_penalty= 18558.066 lambda_mean= [0.6935083] VC_mean= [0.5957825] d= [0.1]
FAC | warm_start_active=False, vs_mean=58.4652, vl_pi= 0.71544605 beta_penalty= 18463.38 lambda_mean= [0.6935083] VC_mean= [0.59372085] d= [0.1]
FAC | warm_start_active=False, vs_mean=60.7046, vl_pi= 0.7058612 beta_penalty= 18175.836 lambda_mean= [0.6935083] VC_mean= [0.58992994] d= [0.1]
FAC | warm_start_active=False, vs_mean=62.1505, vl_pi= 0.7036664 beta_penalty= 18109.99 lambda_mean= [0.6935083] VC_mean= [0.5904965] d= [0.1]
FAC | warm_start_active=False, vs_mean=64.9259, vl_pi= 0.7001509 beta_penalty= 18004.527 lambda_mean= [0.6935083] VC_mean= [0.5857412] d= [0.1]
FAC | warm_start_active=False, vs_mean=65.2586, vl_pi= 0.6950677 beta_penalty= 17852.031 lambda_mean= [0.69355667] VC_mean= [0.56864125] d= [0.1]
FAC | warm_start_active=False, vs_mean=66.7480, vl_pi= 0.6972826 beta_penalty= 17918.479 lambda_mean= [0.69355667] VC_mean= [0.57091004] d= [0.1]
FAC | warm_start_active=False, vs_mean=67.6753, vl_pi= 0.68981975 beta_penalty= 17694.592 lambda_mean= [0.69355667] VC_mean= [0.5726183] d= [0.1]
FAC | warm_start_active=False, vs_mean=69.3235, vl_pi= 0.67876196 beta_penalty= 17362.857 lambda_mean= [0.69355667] VC_mean= [0.5686845] d= [0.1]
FAC | warm_start_active=False, vs_mean=71.9748, vl_pi= 0.6778512 beta_penalty= 17335.535 lambda_mean= [0.69355667] VC_mean= [0.5685364] d= [0.1]
FAC | warm_start_active=False, vs_mean=81.5857, vl_pi= 0.6829981 beta_penalty= 17489.943 lambda_mean= [0.69355386] VC_mean= [0.5527131] d= [0.1]
FAC | warm_start_active=False, vs_mean=83.6121, vl_pi= 0.6875601 beta_penalty= 17626.8 lambda_mean= [0.69355386] VC_mean= [0.5632583] d= [0.1]
FAC | warm_start_active=False, vs_mean=85.6017, vl_pi= 0.6857051 beta_penalty= 17571.152 lambda_mean= [0.69355386] VC_mean= [0.5642887] d= [0.1]
FAC | warm_start_active=False, vs_mean=88.6047, vl_pi= 0.700244 beta_penalty= 18007.32 lambda_mean= [0.69355386] VC_mean= [0.5750847] d= [0.1]
FAC | warm_start_active=False, vs_mean=90.8826, vl_pi= 0.6966198 beta_penalty= 17898.594 lambda_mean= [0.69355386] VC_mean= [0.5688255] d= [0.1]
FAC | warm_start_active=False, vs_mean=110.6399, vl_pi= 0.6484744 beta_penalty= 16454.23 lambda_mean= [0.6935793] VC_mean= [0.5355839] d= [0.1]
FAC | warm_start_active=False, vs_mean=114.4002, vl_pi= 0.6236636 beta_penalty= 15709.907 lambda_mean= [0.6935793] VC_mean= [0.53947043] d= [0.1]
FAC | warm_start_active=False, vs_mean=118.1327, vl_pi= 0.60183704 beta_penalty= 15055.11 lambda_mean= [0.6935793] VC_mean= [0.5343292] d= [0.1]
FAC | warm_start_active=False, vs_mean=121.0469, vl_pi= 0.59670764 beta_penalty= 14901.2295 lambda_mean= [0.6935793] VC_mean= [0.53342986] d= [0.1]
FAC | warm_start_active=False, vs_mean=122.8535, vl_pi= 0.60266876 beta_penalty= 15080.0625 lambda_mean= [0.6935793] VC_mean= [0.53544414] d= [0.1]
FAC | warm_start_active=False, vs_mean=119.1719, vl_pi= 0.6378528 beta_penalty= 16135.583 lambda_mean= [0.6936055] VC_mean= [0.5450144] d= [0.1]
FAC | warm_start_active=False, vs_mean=121.2712, vl_pi= 0.63012606 beta_penalty= 15903.781 lambda_mean= [0.6936055] VC_mean= [0.5468571] d= [0.1]
FAC | warm_start_active=False, vs_mean=123.1001, vl_pi= 0.6330403 beta_penalty= 15991.209 lambda_mean= [0.6936055] VC_mean= [0.54762805] d= [0.1]
FAC | warm_start_active=False, vs_mean=126.0490, vl_pi= 0.6353311 beta_penalty= 16059.932 lambda_mean= [0.6936055] VC_mean= [0.545499] d= [0.1]
FAC | warm_start_active=False, vs_mean=126.8189, vl_pi= 0.6330079 beta_penalty= 15990.235 lambda_mean= [0.6936055] VC_mean= [0.5454606] d= [0.1]
FAC | warm_start_active=False, vs_mean=112.6433, vl_pi= 0.62716275 beta_penalty= 15814.882 lambda_mean= [0.6936154] VC_mean= [0.55602247] d= [0.1]
FAC | warm_start_active=False, vs_mean=113.6000, vl_pi= 0.6281067 beta_penalty= 15843.201 lambda_mean= [0.6936154] VC_mean= [0.5522533] d= [0.1]
FAC | warm_start_active=False, vs_mean=115.6520, vl_pi= 0.63883483 beta_penalty= 16165.044 lambda_mean= [0.6936154] VC_mean= [0.55835134] d= [0.1]
FAC | warm_start_active=False, vs_mean=116.7947, vl_pi= 0.62616885 beta_penalty= 15785.064 lambda_mean= [0.6936154] VC_mean= [0.55177057] d= [0.1]
FAC | warm_start_active=False, vs_mean=118.1430, vl_pi= 0.61778075 beta_penalty= 15533.422 lambda_mean= [0.6936154] VC_mean= [0.5484343] d= [0.1]
FAC | warm_start_active=False, vs_mean=132.9081, vl_pi= 0.6256608 beta_penalty= 15769.822 lambda_mean= [0.6936672] VC_mean= [0.54090685] d= [0.1]
FAC | warm_start_active=False, vs_mean=137.1076, vl_pi= 0.6220435 beta_penalty= 15661.304 lambda_mean= [0.6936672] VC_mean= [0.54089177] d= [0.1]
FAC | warm_start_active=False, vs_mean=138.5244, vl_pi= 0.61745805 beta_penalty= 15523.74 lambda_mean= [0.6936672] VC_mean= [0.53853315] d= [0.1]
FAC | warm_start_active=False, vs_mean=139.3021, vl_pi= 0.6085927 beta_penalty= 15257.78 lambda_mean= [0.6936672] VC_mean= [0.5370706] d= [0.1]
FAC | warm_start_active=False, vs_mean=141.3893, vl_pi= 0.6105356 beta_penalty= 15316.068 lambda_mean= [0.6936672] VC_mean= [0.5392372] d= [0.1]
FAC | warm_start_active=False, vs_mean=157.1435, vl_pi= 0.5969405 beta_penalty= 14908.216 lambda_mean= [0.69369197] VC_mean= [0.52864724] d= [0.1]
FAC | warm_start_active=False, vs_mean=160.8335, vl_pi= 0.5888435 beta_penalty= 14665.306 lambda_mean= [0.69369197] VC_mean= [0.52348363] d= [0.1]
FAC | warm_start_active=False, vs_mean=161.9482, vl_pi= 0.5862664 beta_penalty= 14587.992 lambda_mean= [0.69369197] VC_mean= [0.5164057] d= [0.1]
FAC | warm_start_active=False, vs_mean=163.6793, vl_pi= 0.5804437 beta_penalty= 14413.311 lambda_mean= [0.69369197] VC_mean= [0.51137537] d= [0.1]
FAC | warm_start_active=False, vs_mean=164.9469, vl_pi= 0.5837492 beta_penalty= 14512.476 lambda_mean= [0.69369197] VC_mean= [0.5127231] d= [0.1]
FAC | warm_start_active=False, vs_mean=185.0201, vl_pi= 0.60310876 beta_penalty= 15093.262 lambda_mean= [0.69366556] VC_mean= [0.5026106] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.6938, vl_pi= 0.586237 beta_penalty= 14587.11 lambda_mean= [0.69366556] VC_mean= [0.5160614] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.7767, vl_pi= 0.58590585 beta_penalty= 14577.176 lambda_mean= [0.69366556] VC_mean= [0.5269921] d= [0.1]
FAC | warm_start_active=False, vs_mean=184.1786, vl_pi= 0.59026814 beta_penalty= 14708.044 lambda_mean= [0.69366556] VC_mean= [0.53310746] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.6924, vl_pi= 0.59117556 beta_penalty= 14735.267 lambda_mean= [0.69366556] VC_mean= [0.5337606] d= [0.1]
FAC | warm_start_active=False, vs_mean=176.6836, vl_pi= 0.5933918 beta_penalty= 14801.754 lambda_mean= [0.69368774] VC_mean= [0.54171526] d= [0.1]
FAC | warm_start_active=False, vs_mean=175.6016, vl_pi= 0.59528136 beta_penalty= 14858.441 lambda_mean= [0.69368774] VC_mean= [0.5387847] d= [0.1]
FAC | warm_start_active=False, vs_mean=175.3282, vl_pi= 0.5997994 beta_penalty= 14993.982 lambda_mean= [0.69368774] VC_mean= [0.53994143] d= [0.1]
FAC | warm_start_active=False, vs_mean=175.6771, vl_pi= 0.6054357 beta_penalty= 15163.071 lambda_mean= [0.69368774] VC_mean= [0.54261136] d= [0.1]
FAC | warm_start_active=False, vs_mean=175.6959, vl_pi= 0.60904735 beta_penalty= 15271.42 lambda_mean= [0.69368774] VC_mean= [0.54625905] d= [0.1]
FAC | warm_start_active=False, vs_mean=180.1940, vl_pi= 0.60717356 beta_penalty= 15215.206 lambda_mean= [0.69370145] VC_mean= [0.54697233] d= [0.1]
FAC | warm_start_active=False, vs_mean=181.5653, vl_pi= 0.60586005 beta_penalty= 15175.801 lambda_mean= [0.69370145] VC_mean= [0.55054176] d= [0.1]
FAC | warm_start_active=False, vs_mean=183.0777, vl_pi= 0.60513365 beta_penalty= 15154.009 lambda_mean= [0.69370145] VC_mean= [0.5488498] d= [0.1]
FAC | warm_start_active=False, vs_mean=184.7422, vl_pi= 0.6029316 beta_penalty= 15087.948 lambda_mean= [0.69370145] VC_mean= [0.5471109] d= [0.1]
FAC | warm_start_active=False, vs_mean=186.7641, vl_pi= 0.61052173 beta_penalty= 15315.651 lambda_mean= [0.69370145] VC_mean= [0.54484904] d= [0.1]
FAC | warm_start_active=False, vs_mean=188.1136, vl_pi= 0.62344253 beta_penalty= 15703.275 lambda_mean= [0.6936859] VC_mean= [0.5305181] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.0394, vl_pi= 0.62268853 beta_penalty= 15680.655 lambda_mean= [0.6936859] VC_mean= [0.5277524] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.7982, vl_pi= 0.6193858 beta_penalty= 15581.572 lambda_mean= [0.6936859] VC_mean= [0.5250224] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.1748, vl_pi= 0.6198723 beta_penalty= 15596.167 lambda_mean= [0.6936859] VC_mean= [0.52576536] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.5219, vl_pi= 0.6212611 beta_penalty= 15637.833 lambda_mean= [0.6936859] VC_mean= [0.52633435] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.0247, vl_pi= 0.62632245 beta_penalty= 15789.673 lambda_mean= [0.6936885] VC_mean= [0.53302383] d= [0.1]
FAC | warm_start_active=False, vs_mean=189.8455, vl_pi= 0.62371606 beta_penalty= 15711.481 lambda_mean= [0.6936885] VC_mean= [0.537461] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.1506, vl_pi= 0.6284114 beta_penalty= 15852.342 lambda_mean= [0.6936885] VC_mean= [0.543426] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.1152, vl_pi= 0.62806106 beta_penalty= 15841.831 lambda_mean= [0.6936885] VC_mean= [0.5444082] d= [0.1]
FAC | warm_start_active=False, vs_mean=191.3424, vl_pi= 0.62899256 beta_penalty= 15869.776 lambda_mean= [0.6936885] VC_mean= [0.5447034] d= [0.1]
FAC | warm_start_active=False, vs_mean=203.5977, vl_pi= 0.60348034 beta_penalty= 15104.409 lambda_mean= [0.6936898] VC_mean= [0.5469318] d= [0.1]
FAC | warm_start_active=False, vs_mean=200.8120, vl_pi= 0.60509837 beta_penalty= 15152.95 lambda_mean= [0.6936898] VC_mean= [0.5483641] d= [0.1]
FAC | warm_start_active=False, vs_mean=199.7880, vl_pi= 0.6097564 beta_penalty= 15292.691 lambda_mean= [0.6936898] VC_mean= [0.54739535] d= [0.1]
FAC | warm_start_active=False, vs_mean=198.2392, vl_pi= 0.611405 beta_penalty= 15342.149 lambda_mean= [0.6936898] VC_mean= [0.5479526] d= [0.1]
FAC | warm_start_active=False, vs_mean=197.7069, vl_pi= 0.6095511 beta_penalty= 15286.531 lambda_mean= [0.6936898] VC_mean= [0.5457931] d= [0.1]
FAC | warm_start_active=False, vs_mean=197.6658, vl_pi= 0.6188099 beta_penalty= 15564.296 lambda_mean= [0.69369304] VC_mean= [0.5407036] d= [0.1]
FAC | warm_start_active=False, vs_mean=197.0659, vl_pi= 0.6193578 beta_penalty= 15580.734 lambda_mean= [0.69369304] VC_mean= [0.5408663] d= [0.1]
FAC | warm_start_active=False, vs_mean=197.6366, vl_pi= 0.6177567 beta_penalty= 15532.701 lambda_mean= [0.69369304] VC_mean= [0.53652436] d= [0.1]
FAC | warm_start_active=False, vs_mean=198.9445, vl_pi= 0.6192136 beta_penalty= 15576.406 lambda_mean= [0.69369304] VC_mean= [0.5375443] d= [0.1]
FAC | warm_start_active=False, vs_mean=198.5062, vl_pi= 0.6118887 beta_penalty= 15356.66 lambda_mean= [0.69369304] VC_mean= [0.53859365] d= [0.1]
FAC | warm_start_active=False, vs_mean=196.5527, vl_pi= 0.6143458 beta_penalty= 15430.373 lambda_mean= [0.69370353] VC_mean= [0.5396739] d= [0.1]
FAC | warm_start_active=False, vs_mean=194.8026, vl_pi= 0.61031616 beta_penalty= 15309.484 lambda_mean= [0.69370353] VC_mean= [0.5385859] d= [0.1]
FAC | warm_start_active=False, vs_mean=194.7192, vl_pi= 0.6023918 beta_penalty= 15071.753 lambda_mean= [0.69370353] VC_mean= [0.53731644] d= [0.1]
FAC | warm_start_active=False, vs_mean=194.9495, vl_pi= 0.59973836 beta_penalty= 14992.151 lambda_mean= [0.69370353] VC_mean= [0.53688616] d= [0.1]
FAC | warm_start_active=False, vs_mean=194.7489, vl_pi= 0.59826916 beta_penalty= 14948.075 lambda_mean= [0.69370353] VC_mean= [0.5360681] d= [0.1]
FAC | warm_start_active=False, vs_mean=196.2876, vl_pi= 0.5722736 beta_penalty= 14168.209 lambda_mean= [0.6937159] VC_mean= [0.53621995] d= [0.1]
