n0054
Fri Sep  4 03:19:33 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 701 seed= 1 env= HalfCheetahCMDP k_epochs 5
env=HalfCheetahCMDP
state_dim=19
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4.725817244352644 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 4.725817244352644 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 38.1425895690918 tensor(6.9267) 31.215923309326172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 38.1425895690918 tensor(6.9267) 31.215923309326172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 38.1425895690918 tensor(6.9267) 31.215923309326172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 38.1425895690918 tensor(6.9267) 31.215923309326172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 38.1425895690918 tensor(6.9267) 31.215923309326172
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.40170669555664 tensor(6.9267) 35.475040435791016
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.40170669555664 tensor(6.9267) 35.475040435791016
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.40170669555664 tensor(6.9267) 35.475040435791016
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.40170669555664 tensor(6.9267) 35.475040435791016
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.40170669555664 tensor(6.9267) 35.475040435791016
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.15134811401367 tensor(6.9267) 39.22468185424805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.15134811401367 tensor(6.9267) 39.22468185424805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.15134811401367 tensor(6.9267) 39.22468185424805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.15134811401367 tensor(6.9267) 39.22468185424805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.15134811401367 tensor(6.9267) 39.22468185424805
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.16121292114258 tensor(6.9267) 39.23454666137695
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.16121292114258 tensor(6.9267) 39.23454666137695
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 46.16121292114258 tensor(6.9267) 39.23454666137695
