n0050
Thu Aug 27 11:09:20 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 6 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.883397093632172 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.883397093632172 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 -0.31520578265190125 tensor(1.3420) tensor(34258.9961)
ch, vs_mean, vl_pi, beta penalty= 0 2.3009753227233887 tensor(1.1125) tensor(27375.4062)
ch, vs_mean, vl_pi, beta penalty= 0 5.500973224639893 tensor(0.8542) tensor(19627.0918)
ch, vs_mean, vl_pi, beta penalty= 0 9.2765531539917 tensor(0.5613) tensor(10837.8535)
ch, vs_mean, vl_pi, beta penalty= 0 12.420426368713379 tensor(0.6020) tensor(12060.4902)
ch, vs_mean, vl_pi, beta penalty= 0 14.538341522216797 tensor(0.5840) tensor(11521.3574)
ch, vs_mean, vl_pi, beta penalty= 0 16.95633888244629 tensor(1.3688) tensor(35064.5195)
ch, vs_mean, vl_pi, beta penalty= 0 18.997711181640625 tensor(1.6899) tensor(44695.6328)
ch, vs_mean, vl_pi, beta penalty= 0 20.369369506835938 tensor(1.8364) tensor(49093.1719)
ch, vs_mean, vl_pi, beta penalty= 0 21.231311798095703 tensor(1.9569) tensor(52705.6875)
ch, vs_mean, vl_pi, beta penalty= 0 21.771747589111328 tensor(2.0979) tensor(56937.5117)
ch, vs_mean, vl_pi, beta penalty= 0 22.11310386657715 tensor(2.0768) tensor(56302.9727)
ch, vs_mean, vl_pi, beta penalty= 0 21.540517807006836 tensor(1.9605) tensor(52814.8516)
ch, vs_mean, vl_pi, beta penalty= 0 21.683002471923828 tensor(1.8432) tensor(49296.7891)
ch, vs_mean, vl_pi, beta penalty= 0 22.16712760925293 tensor(1.8631) tensor(49893.7891)
ch, vs_mean, vl_pi, beta penalty= 0 25.115028381347656 tensor(1.4964) tensor(38891.3477)
ch, vs_mean, vl_pi, beta penalty= 0 24.533843994140625 tensor(1.4590) tensor(37771.3516)
ch, vs_mean, vl_pi, beta penalty= 0 24.217737197875977 tensor(1.3258) tensor(33775.1680)
ch, vs_mean, vl_pi, beta penalty= 0 23.30717658996582 tensor(1.3271) tensor(33811.6055)
ch, vs_mean, vl_pi, beta penalty= 0 22.807756423950195 tensor(1.2601) tensor(31802.4902)
ch, vs_mean, vl_pi, beta penalty= 0 18.883520126342773 tensor(1.2515) tensor(31544.4082)
ch, vs_mean, vl_pi, beta penalty= 0 21.16596031188965 tensor(1.5727) tensor(41180.0391)
ch, vs_mean, vl_pi, beta penalty= 0 22.82791519165039 tensor(1.8987) tensor(50961.6445)
ch, vs_mean, vl_pi, beta penalty= 0 24.341426849365234 tensor(1.9798) tensor(53394.7422)
ch, vs_mean, vl_pi, beta penalty= 0 25.369665145874023 tensor(2.0580) tensor(55741.2656)
ch, vs_mean, vl_pi, beta penalty= 0 27.330472946166992 tensor(2.8082) tensor(78245.5469)
ch, vs_mean, vl_pi, beta penalty= 0 27.384180068969727 tensor(2.7757) tensor(77271.3828)
ch, vs_mean, vl_pi, beta penalty= 0 27.732643127441406 tensor(2.7811) tensor(77434.1250)
ch, vs_mean, vl_pi, beta penalty= 0 28.25472068786621 tensor(2.8101) tensor(78303.7188)
ch, vs_mean, vl_pi, beta penalty= 0 28.522533416748047 tensor(2.6615) tensor(73845.1875)
ch, vs_mean, vl_pi, beta penalty= 0 25.12589454650879 tensor(3.9833) tensor(113500.2500)
ch, vs_mean, vl_pi, beta penalty= 0 25.949783325195312 tensor(3.7600) tensor(106798.6562)
ch, vs_mean, vl_pi, beta penalty= 0 27.02431869506836 tensor(3.7162) tensor(105484.8359)
ch, vs_mean, vl_pi, beta penalty= 0 27.77253532409668 tensor(3.7059) tensor(105177.4688)
ch, vs_mean, vl_pi, beta penalty= 0 28.821359634399414 tensor(3.7257) tensor(105770.1875)
ch, vs_mean, vl_pi, beta penalty= 0 30.382320404052734 tensor(2.0253) tensor(54757.8125)
ch, vs_mean, vl_pi, beta penalty= 0 30.968957901000977 tensor(2.0321) tensor(54964.0273)
ch, vs_mean, vl_pi, beta penalty= 0 31.677337646484375 tensor(1.9544) tensor(52631.2812)
ch, vs_mean, vl_pi, beta penalty= 0 32.16715621948242 tensor(1.9145) tensor(51436.2109)
ch, vs_mean, vl_pi, beta penalty= 0 32.93955993652344 tensor(1.8694) tensor(50083.3789)
ch, vs_mean, vl_pi, beta penalty= 0 34.52138137817383 tensor(2.8824) tensor(80473.2031)
ch, vs_mean, vl_pi, beta penalty= 0 35.199119567871094 tensor(2.7761) tensor(77282.8516)
ch, vs_mean, vl_pi, beta penalty= 0 35.40092086791992 tensor(2.8056) tensor(78167.6484)
ch, vs_mean, vl_pi, beta penalty= 0 35.52907180786133 tensor(2.7696) tensor(77089.)
ch, vs_mean, vl_pi, beta penalty= 0 36.38948440551758 tensor(2.7502) tensor(76505.5312)
ch, vs_mean, vl_pi, beta penalty= 0 37.63227844238281 tensor(1.8423) tensor(49270.3281)
ch, vs_mean, vl_pi, beta penalty= 0 38.01862335205078 tensor(1.8434) tensor(49301.5898)
ch, vs_mean, vl_pi, beta penalty= 0 38.56867980957031 tensor(1.9484) tensor(52451.5586)
ch, vs_mean, vl_pi, beta penalty= 0 38.80693817138672 tensor(1.9280) tensor(51841.1484)
ch, vs_mean, vl_pi, beta penalty= 0 39.193511962890625 tensor(1.9362) tensor(52087.4141)
ch, vs_mean, vl_pi, beta penalty= 0 45.92073440551758 tensor(1.6953) tensor(44860.2500)
ch, vs_mean, vl_pi, beta penalty= 0 45.76454162597656 tensor(1.6024) tensor(42070.9414)
ch, vs_mean, vl_pi, beta penalty= 0 45.69231414794922 tensor(1.5679) tensor(41036.9609)
ch, vs_mean, vl_pi, beta penalty= 0 45.22529983520508 tensor(1.5182) tensor(39546.7578)
ch, vs_mean, vl_pi, beta penalty= 0 45.2613525390625 tensor(1.5070) tensor(39209.9492)
ch, vs_mean, vl_pi, beta penalty= 0 45.073829650878906 tensor(1.1616) tensor(28847.8613)
ch, vs_mean, vl_pi, beta penalty= 0 44.1014404296875 tensor(1.1070) tensor(27208.6875)
ch, vs_mean, vl_pi, beta penalty= 0 43.448326110839844 tensor(1.1004) tensor(27011.8027)
ch, vs_mean, vl_pi, beta penalty= 0 42.885887145996094 tensor(1.0681) tensor(26044.3340)
