n0050
Thu Aug 27 11:01:15 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 7 env= HalfCheetahForwardObstacleCMDP k_epochs 5
env=HalfCheetahForwardObstacleCMDP
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:1.8368217784400567 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 1.8368217784400567 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 -0.30054771900177 tensor(3.4336) tensor(97007.2812)
ch, vs_mean, vl_pi, beta penalty= 0 2.0408248901367188 tensor(2.2288) tensor(60863.1562)
ch, vs_mean, vl_pi, beta penalty= 0 5.336984634399414 tensor(1.5705) tensor(41114.6289)
ch, vs_mean, vl_pi, beta penalty= 0 9.868267059326172 tensor(1.3343) tensor(34028.6055)
ch, vs_mean, vl_pi, beta penalty= 0 13.474331855773926 tensor(1.0435) tensor(25303.9375)
ch, vs_mean, vl_pi, beta penalty= 0 13.802840232849121 tensor(1.3118) tensor(33354.9141)
ch, vs_mean, vl_pi, beta penalty= 0 15.846949577331543 tensor(1.1809) tensor(29427.6836)
ch, vs_mean, vl_pi, beta penalty= 0 17.04139518737793 tensor(1.0471) tensor(25412.7852)
ch, vs_mean, vl_pi, beta penalty= 0 17.796743392944336 tensor(1.1393) tensor(28178.8672)
ch, vs_mean, vl_pi, beta penalty= 0 18.855541229248047 tensor(1.2186) tensor(30557.8672)
ch, vs_mean, vl_pi, beta penalty= 0 18.664216995239258 tensor(1.2071) tensor(30213.1934)
ch, vs_mean, vl_pi, beta penalty= 0 19.434602737426758 tensor(1.0824) tensor(26470.7754)
ch, vs_mean, vl_pi, beta penalty= 0 19.669906616210938 tensor(1.0843) tensor(26530.2246)
ch, vs_mean, vl_pi, beta penalty= 0 20.00553321838379 tensor(0.9590) tensor(22769.1426)
ch, vs_mean, vl_pi, beta penalty= 0 20.457368850708008 tensor(0.8790) tensor(20368.9160)
ch, vs_mean, vl_pi, beta penalty= 0 21.378650665283203 tensor(0.9896) tensor(23688.7422)
ch, vs_mean, vl_pi, beta penalty= 0 21.369787216186523 tensor(1.1335) tensor(28004.9707)
ch, vs_mean, vl_pi, beta penalty= 0 21.6641845703125 tensor(1.3093) tensor(33278.7812)
ch, vs_mean, vl_pi, beta penalty= 0 22.01439666748047 tensor(1.4572) tensor(37715.7227)
ch, vs_mean, vl_pi, beta penalty= 0 22.33821678161621 tensor(1.4906) tensor(38718.5703)
ch, vs_mean, vl_pi, beta penalty= 0 21.480411529541016 tensor(1.9199) tensor(51596.6445)
ch, vs_mean, vl_pi, beta penalty= 0 22.628509521484375 tensor(1.8776) tensor(50327.7734)
ch, vs_mean, vl_pi, beta penalty= 0 24.128761291503906 tensor(1.8406) tensor(49218.6445)
ch, vs_mean, vl_pi, beta penalty= 0 24.900304794311523 tensor(1.8336) tensor(49007.2148)
ch, vs_mean, vl_pi, beta penalty= 0 25.29140853881836 tensor(1.8389) tensor(49166.7812)
ch, vs_mean, vl_pi, beta penalty= 0 30.061256408691406 tensor(3.3362) tensor(94086.2656)
ch, vs_mean, vl_pi, beta penalty= 0 29.90184211730957 tensor(3.3117) tensor(93349.6641)
ch, vs_mean, vl_pi, beta penalty= 0 30.99761962890625 tensor(3.2420) tensor(91260.8906)
ch, vs_mean, vl_pi, beta penalty= 0 31.34884262084961 tensor(3.2534) tensor(91601.5156)
ch, vs_mean, vl_pi, beta penalty= 0 31.420928955078125 tensor(3.1824) tensor(89472.2578)
ch, vs_mean, vl_pi, beta penalty= 0 30.538734436035156 tensor(2.3253) tensor(63758.7344)
ch, vs_mean, vl_pi, beta penalty= 0 31.137779235839844 tensor(2.4636) tensor(67907.7578)
ch, vs_mean, vl_pi, beta penalty= 0 31.488094329833984 tensor(2.4752) tensor(68257.4375)
ch, vs_mean, vl_pi, beta penalty= 0 32.002662658691406 tensor(2.4598) tensor(67795.3906)
ch, vs_mean, vl_pi, beta penalty= 0 32.11003112792969 tensor(2.4762) tensor(68285.3281)
ch, vs_mean, vl_pi, beta penalty= 0 31.778560638427734 tensor(3.1512) tensor(88535.1953)
ch, vs_mean, vl_pi, beta penalty= 0 32.91938018798828 tensor(3.1850) tensor(89550.2188)
ch, vs_mean, vl_pi, beta penalty= 0 34.30516815185547 tensor(3.1630) tensor(88888.9766)
ch, vs_mean, vl_pi, beta penalty= 0 35.150596618652344 tensor(3.1836) tensor(89508.1250)
ch, vs_mean, vl_pi, beta penalty= 0 35.31956481933594 tensor(3.1377) tensor(88132.1250)
ch, vs_mean, vl_pi, beta penalty= 0 37.462135314941406 tensor(3.0027) tensor(84081.2969)
ch, vs_mean, vl_pi, beta penalty= 0 38.26179122924805 tensor(2.9597) tensor(82790.6484)
ch, vs_mean, vl_pi, beta penalty= 0 38.59461975097656 tensor(2.9904) tensor(83710.9531)
ch, vs_mean, vl_pi, beta penalty= 0 38.73526382446289 tensor(2.9804) tensor(83412.2656)
ch, vs_mean, vl_pi, beta penalty= 0 38.72430419921875 tensor(2.9112) tensor(81336.8203)
ch, vs_mean, vl_pi, beta penalty= 0 41.60409164428711 tensor(1.1255) tensor(27765.2383)
ch, vs_mean, vl_pi, beta penalty= 0 41.81985092163086 tensor(1.0747) tensor(26242.0371)
ch, vs_mean, vl_pi, beta penalty= 0 42.781898498535156 tensor(0.9555) tensor(22664.2422)
ch, vs_mean, vl_pi, beta penalty= 0 43.25958251953125 tensor(0.8943) tensor(20828.0371)
ch, vs_mean, vl_pi, beta penalty= 0 43.79726791381836 tensor(0.8712) tensor(20136.7578)
ch, vs_mean, vl_pi, beta penalty= 0 48.04243469238281 tensor(2.0171) tensor(54514.4883)
ch, vs_mean, vl_pi, beta penalty= 0 48.552608489990234 tensor(2.2410) tensor(61229.4023)
ch, vs_mean, vl_pi, beta penalty= 0 47.83507537841797 tensor(2.3271) tensor(63812.4492)
ch, vs_mean, vl_pi, beta penalty= 0 47.203399658203125 tensor(2.4320) tensor(66959.0391)
ch, vs_mean, vl_pi, beta penalty= 0 46.92455291748047 tensor(2.4646) tensor(67938.8203)
ch, vs_mean, vl_pi, beta penalty= 0 41.880210876464844 tensor(1.6765) tensor(44295.9648)
ch, vs_mean, vl_pi, beta penalty= 0 42.89991760253906 tensor(1.6620) tensor(43860.7188)
ch, vs_mean, vl_pi, beta penalty= 0 44.599517822265625 tensor(1.6397) tensor(43190.7656)
ch, vs_mean, vl_pi, beta penalty= 0 45.66804504394531 tensor(1.6052) tensor(42157.4414)
ch, vs_mean, vl_pi, beta penalty= 0 47.250755310058594 tensor(1.6086) tensor(42258.1172)
ch, vs_mean, vl_pi, beta penalty= 0 52.94670104980469 tensor(2.5106) tensor(69318.0703)
ch, vs_mean, vl_pi, beta penalty= 0 52.68071365356445 tensor(2.4288) tensor(66865.4922)
