n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstacleCMDP k_epochs 5
env=HumanoidForwardObstacleCMDP
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.8236106825 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.8236106825 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 2.573885917663574 tensor(8.2224) tensor(2316709.5000)
ch, vs_mean, vl_pi, beta penalty= 0 16.97887420654297 tensor(6.6689) tensor(1850659.2500)
ch, vs_mean, vl_pi, beta penalty= 0 39.49674606323242 tensor(5.9425) tensor(1632749.5000)
ch, vs_mean, vl_pi, beta penalty= 0 79.12297821044922 tensor(5.6356) tensor(1540691.6250)
ch, vs_mean, vl_pi, beta penalty= 0 143.9741973876953 tensor(5.4333) tensor(1479977.)
ch, vs_mean, vl_pi, beta penalty= 0 205.81126403808594 tensor(4.6694) tensor(1250830.5000)
ch, vs_mean, vl_pi, beta penalty= 0 264.7760925292969 tensor(4.3767) tensor(1163011.7500)
ch, vs_mean, vl_pi, beta penalty= 0 306.6854248046875 tensor(4.2692) tensor(1130746.8750)
ch, vs_mean, vl_pi, beta penalty= 0 344.294677734375 tensor(4.1696) tensor(1100867.7500)
ch, vs_mean, vl_pi, beta penalty= 0 367.0802307128906 tensor(4.1484) tensor(1094534.5000)
ch, vs_mean, vl_pi, beta penalty= 0 384.99310302734375 tensor(4.0821) tensor(1074643.2500)
ch, vs_mean, vl_pi, beta penalty= 0 401.3658142089844 tensor(3.9581) tensor(1037416.5625)
ch, vs_mean, vl_pi, beta penalty= 0 413.62481689453125 tensor(3.7196) tensor(965867.1250)
ch, vs_mean, vl_pi, beta penalty= 0 421.1124267578125 tensor(3.6496) tensor(944878.)
ch, vs_mean, vl_pi, beta penalty= 0 428.97821044921875 tensor(3.4904) tensor(897120.9375)
ch, vs_mean, vl_pi, beta penalty= 0 432.3177185058594 tensor(4.3455) tensor(1153640.)
ch, vs_mean, vl_pi, beta penalty= 0 435.99053955078125 tensor(4.2525) tensor(1125758.5000)
ch, vs_mean, vl_pi, beta penalty= 0 443.1409606933594 tensor(3.9422) tensor(1032657.1250)
ch, vs_mean, vl_pi, beta penalty= 0 451.6932067871094 tensor(3.6718) tensor(951536.1250)
ch, vs_mean, vl_pi, beta penalty= 0 457.763916015625 tensor(3.4732) tensor(891971.6875)
ch, vs_mean, vl_pi, beta penalty= 0 455.1911315917969 tensor(3.2766) tensor(832976.3125)
ch, vs_mean, vl_pi, beta penalty= 0 458.6351623535156 tensor(3.1115) tensor(783457.3125)
ch, vs_mean, vl_pi, beta penalty= 0 463.77294921875 tensor(3.0153) tensor(754598.6875)
ch, vs_mean, vl_pi, beta penalty= 0 465.8076477050781 tensor(2.8627) tensor(708810.5625)
ch, vs_mean, vl_pi, beta penalty= 0 462.6344299316406 tensor(2.7362) tensor(670866.3125)
ch, vs_mean, vl_pi, beta penalty= 0 464.7828369140625 tensor(3.0129) tensor(753868.5625)
ch, vs_mean, vl_pi, beta penalty= 0 470.00030517578125 tensor(2.9319) tensor(729577.8750)
ch, vs_mean, vl_pi, beta penalty= 0 469.4105529785156 tensor(2.7247) tensor(667416.4375)
ch, vs_mean, vl_pi, beta penalty= 0 468.17626953125 tensor(2.5934) tensor(628027.2500)
ch, vs_mean, vl_pi, beta penalty= 0 471.8956298828125 tensor(2.5662) tensor(619851.1250)
ch, vs_mean, vl_pi, beta penalty= 0 474.52435302734375 tensor(2.5375) tensor(611256.3125)
ch, vs_mean, vl_pi, beta penalty= 0 477.3939208984375 tensor(2.4743) tensor(592292.2500)
ch, vs_mean, vl_pi, beta penalty= 0 471.9067687988281 tensor(2.3255) tensor(547656.)
ch, vs_mean, vl_pi, beta penalty= 0 474.1806945800781 tensor(2.2474) tensor(524217.1562)
ch, vs_mean, vl_pi, beta penalty= 0 473.800048828125 tensor(2.1739) tensor(502166.4688)
ch, vs_mean, vl_pi, beta penalty= 0 475.1337585449219 tensor(2.3708) tensor(561244.7500)
ch, vs_mean, vl_pi, beta penalty= 0 475.27056884765625 tensor(2.3972) tensor(569145.0625)
ch, vs_mean, vl_pi, beta penalty= 0 476.92041015625 tensor(2.3034) tensor(541006.5625)
ch, vs_mean, vl_pi, beta penalty= 0 479.5938415527344 tensor(2.2125) tensor(513746.5312)
ch, vs_mean, vl_pi, beta penalty= 0 477.43267822265625 tensor(2.1853) tensor(505592.9062)
ch, vs_mean, vl_pi, beta penalty= 0 479.3528137207031 tensor(2.5322) tensor(609645.8125)
ch, vs_mean, vl_pi, beta penalty= 0 478.3885498046875 tensor(2.3508) tensor(555245.1875)
ch, vs_mean, vl_pi, beta penalty= 0 478.9512634277344 tensor(2.1831) tensor(504920.1250)
ch, vs_mean, vl_pi, beta penalty= 0 478.5632019042969 tensor(2.1034) tensor(481017.)
ch, vs_mean, vl_pi, beta penalty= 0 479.8662109375 tensor(2.0775) tensor(473263.2500)
ch, vs_mean, vl_pi, beta penalty= 0 465.70068359375 tensor(2.1577) tensor(497295.6562)
ch, vs_mean, vl_pi, beta penalty= 0 465.0990905761719 tensor(2.0225) tensor(456747.9375)
ch, vs_mean, vl_pi, beta penalty= 0 467.14642333984375 tensor(1.9754) tensor(442611.7188)
ch, vs_mean, vl_pi, beta penalty= 0 469.5118408203125 tensor(1.8836) tensor(415088.8750)
ch, vs_mean, vl_pi, beta penalty= 0 470.8558044433594 tensor(1.8617) tensor(408503.8750)
ch, vs_mean, vl_pi, beta penalty= 0 475.4640808105469 tensor(2.0882) tensor(476466.1875)
ch, vs_mean, vl_pi, beta penalty= 0 473.87957763671875 tensor(1.9884) tensor(446525.9375)
ch, vs_mean, vl_pi, beta penalty= 0 473.9161376953125 tensor(1.8699) tensor(410958.1875)
ch, vs_mean, vl_pi, beta penalty= 0 472.8885498046875 tensor(1.8614) tensor(408407.6562)
ch, vs_mean, vl_pi, beta penalty= 0 472.8003234863281 tensor(1.8581) tensor(407426.1250)
ch, vs_mean, vl_pi, beta penalty= 0 478.0018615722656 tensor(2.1949) tensor(508479.3750)
ch, vs_mean, vl_pi, beta penalty= 0 478.9029235839844 tensor(2.1082) tensor(482452.3125)
ch, vs_mean, vl_pi, beta penalty= 0 474.53619384765625 tensor(2.0386) tensor(461574.3438)
ch, vs_mean, vl_pi, beta penalty= 0 475.9056701660156 tensor(2.0067) tensor(452002.2188)
ch, vs_mean, vl_pi, beta penalty= 0 475.3895263671875 tensor(1.9625) tensor(438760.2500)
ch, vs_mean, vl_pi, beta penalty= 0 472.8409729003906 tensor(1.8291) tensor(398743.5938)
ch, vs_mean, vl_pi, beta penalty= 0 474.3112487792969 tensor(1.7998) tensor(389929.0312)
ch, vs_mean, vl_pi, beta penalty= 0 476.22174072265625 tensor(1.7505) tensor(375145.3438)
ch, vs_mean, vl_pi, beta penalty= 0 474.5477600097656 tensor(1.6619) tensor(348584.1875)
ch, vs_mean, vl_pi, beta penalty= 0 476.3345642089844 tensor(1.5589) tensor(317679.2188)
ch, vs_mean, vl_pi, beta penalty= 0 478.93798828125 tensor(1.6435) tensor(343044.8750)
ch, vs_mean, vl_pi, beta penalty= 0 480.6498718261719 tensor(1.5997) tensor(329922.5312)
ch, vs_mean, vl_pi, beta penalty= 0 482.53021240234375 tensor(1.5084) tensor(302513.6875)
ch, vs_mean, vl_pi, beta penalty= 0 482.63507080078125 tensor(1.4937) tensor(298095.2812)
ch, vs_mean, vl_pi, beta penalty= 0 480.2474060058594 tensor(1.5010) tensor(300309.3750)
ch, vs_mean, vl_pi, beta penalty= 0 479.43939208984375 tensor(1.8688) tensor(410646.5312)
ch, vs_mean, vl_pi, beta penalty= 0 482.2454833984375 tensor(1.8151) tensor(394531.3125)
ch, vs_mean, vl_pi, beta penalty= 0 480.3943786621094 tensor(1.7367) tensor(371010.7188)
ch, vs_mean, vl_pi, beta penalty= 0 479.42877197265625 tensor(1.6426) tensor(342789.2500)
ch, vs_mean, vl_pi, beta penalty= 0 478.4768371582031 tensor(1.5784) tensor(323518.2812)
ch, vs_mean, vl_pi, beta penalty= 0 486.8714599609375 tensor(1.6641) tensor(349221.7812)
ch, vs_mean, vl_pi, beta penalty= 0 486.38690185546875 tensor(1.6512) tensor(345349.5312)
ch, vs_mean, vl_pi, beta penalty= 0 486.73724365234375 tensor(1.6172) tensor(335157.2812)
ch, vs_mean, vl_pi, beta penalty= 0 487.48193359375 tensor(1.5671) tensor(320144.9375)
