n0006
Thu Sep  3 07:12:13 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 4 seed= 1 env= HumanoidCMDP k_epochs 5
env=HumanoidCMDP
state_dim=377
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
No env selected
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.119339913683 	 evaluate_cost:6.871486402815208e-05 	 evaluate_max_cost:2.6178870029980317e-05
New best model found! Saving model with reward: 4985.119339913683 and max cost: 2.6178870029980317e-05
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 12.165690422058105 1.0 11.165690422058105
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 19.429115295410156 1.0 18.429115295410156
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 27.53097915649414 1.0 26.53097915649414
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 35.84428024291992 1.0 34.84428024291992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 45.825809478759766 1.0 44.825809478759766
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 54.44525909423828 1.0 53.44525909423828
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 66.68415832519531 1.0 65.68415832519531
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 80.76835632324219 1.0 79.76835632324219
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 95.96735382080078 1.0 94.96735382080078
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 112.23945617675781 1.0 111.23945617675781
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 126.92535400390625 1.0 125.92535400390625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 143.86282348632812 1.0 142.86282348632812
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 157.97622680664062 1.0 156.97622680664062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 167.8447265625 1.0 166.8447265625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 180.4752960205078 1.0 179.4752960205078
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 193.6122283935547 1.0 192.6122283935547
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 199.29736328125 1.0 198.29736328125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 207.95460510253906 1.0 206.95460510253906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 211.3378448486328 1.0 210.3378448486328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 216.9047393798828 1.0 215.9047393798828
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 221.10699462890625 1.0 220.10699462890625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 223.0279083251953 1.0 222.0279083251953
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 226.2627410888672 1.0 225.2627410888672
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 227.34893798828125 1.0 226.34893798828125
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 230.015869140625 1.0 229.015869140625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 226.10867309570312 1.0 225.10867309570312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 226.22425842285156 1.0 225.22425842285156
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 226.12185668945312 1.0 225.12185668945312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 225.6082305908203 1.0 224.6082305908203
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 227.37733459472656 1.0 226.37733459472656
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.23361206054688 1.0 236.23361206054688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.59588623046875 1.0 236.59588623046875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.75704956054688 1.0 236.75704956054688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.7142333984375 1.0 235.7142333984375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.3670196533203 1.0 236.3670196533203
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 228.95144653320312 1.0 227.95144653320312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 228.86338806152344 1.0 227.86338806152344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 228.76333618164062 1.0 227.76333618164062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 228.3756866455078 1.0 227.3756866455078
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 228.1940155029297 1.0 227.1940155029297
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.1165313720703 1.0 239.1165313720703
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.53370666503906 1.0 238.53370666503906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.4576416015625 1.0 237.4576416015625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.73313903808594 1.0 237.73313903808594
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.91461181640625 1.0 237.91461181640625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 232.4300537109375 1.0 231.4300537109375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 233.40975952148438 1.0 232.40975952148438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 234.6623992919922 1.0 233.6623992919922
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.1044464111328 1.0 235.1044464111328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 235.29014587402344 1.0 234.29014587402344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.27255249023438 1.0 235.27255249023438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.18301391601562 1.0 236.18301391601562
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.25936889648438 1.0 236.25936889648438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.3970947265625 1.0 235.3970947265625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.7772979736328 1.0 235.7772979736328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 229.2401885986328 1.0 228.2401885986328
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 229.16175842285156 1.0 228.16175842285156
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 229.3996124267578 1.0 228.3996124267578
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 229.24603271484375 1.0 228.24603271484375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 229.8505859375 1.0 228.8505859375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.64230346679688 1.0 236.64230346679688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.2382049560547 1.0 237.2382049560547
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.84962463378906 1.0 235.84962463378906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 234.7609405517578 1.0 233.7609405517578
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 233.68972778320312 1.0 232.68972778320312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.00814819335938 1.0 236.00814819335938
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.53953552246094 1.0 235.53953552246094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.01336669921875 1.0 235.01336669921875
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.00563049316406 1.0 235.00563049316406
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.31454467773438 1.0 235.31454467773438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.89077758789062 1.0 235.89077758789062
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.81883239746094 1.0 237.81883239746094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.01368713378906 1.0 237.01368713378906
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.2723846435547 1.0 237.2723846435547
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.6263427734375 1.0 236.6263427734375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 232.29617309570312 1.0 231.29617309570312
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 232.71446228027344 1.0 231.71446228027344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 232.61534118652344 1.0 231.61534118652344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 232.56541442871094 1.0 231.56541442871094
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 233.0399627685547 1.0 232.0399627685547
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.90830993652344 1.0 239.90830993652344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 240.56515502929688 1.0 239.56515502929688
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.2985076904297 1.0 237.2985076904297
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.46099853515625 1.0 236.46099853515625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.46226501464844 1.0 235.46226501464844
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.75804138183594 1.0 237.75804138183594
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.47076416015625 1.0 237.47076416015625
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.5863037109375 1.0 237.5863037109375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 237.83441162109375 1.0 236.83441162109375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 239.70091247558594 1.0 238.70091247558594
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 236.79339599609375 1.0 235.79339599609375
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 238.13302612304688 1.0 237.13302612304688
