n0006
Mon Aug 31 07:39:41 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidForwardObstaclePerturbed k_epochs 5
env=HumanoidForwardObstaclePerturbed
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.802438336743 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 4985.802438336743 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 2.5689826011657715 tensor(8.8391) tensor(2501727.5000)
ch, vs_mean, vl_pi, beta penalty= 0 16.98458480834961 tensor(7.3534) tensor(2056009.3750)
ch, vs_mean, vl_pi, beta penalty= 0 39.43584442138672 tensor(6.0872) tensor(1676170.5000)
ch, vs_mean, vl_pi, beta penalty= 0 78.95899963378906 tensor(5.5771) tensor(1523130.3750)
ch, vs_mean, vl_pi, beta penalty= 0 143.4937744140625 tensor(5.2898) tensor(1436929.5000)
ch, vs_mean, vl_pi, beta penalty= 0 205.00787353515625 tensor(4.9273) tensor(1328200.2500)
ch, vs_mean, vl_pi, beta penalty= 0 261.20623779296875 tensor(4.9361) tensor(1330825.1250)
ch, vs_mean, vl_pi, beta penalty= 0 303.400390625 tensor(4.7616) tensor(1278473.8750)
ch, vs_mean, vl_pi, beta penalty= 0 341.16998291015625 tensor(4.6074) tensor(1232230.8750)
ch, vs_mean, vl_pi, beta penalty= 0 365.139892578125 tensor(4.2473) tensor(1124189.6250)
ch, vs_mean, vl_pi, beta penalty= 0 380.9877624511719 tensor(4.0285) tensor(1058538.3750)
ch, vs_mean, vl_pi, beta penalty= 0 391.44537353515625 tensor(3.9290) tensor(1028703.3750)
ch, vs_mean, vl_pi, beta penalty= 0 401.8102111816406 tensor(3.8473) tensor(1004183.3750)
ch, vs_mean, vl_pi, beta penalty= 0 406.89959716796875 tensor(3.7470) tensor(974103.5625)
ch, vs_mean, vl_pi, beta penalty= 0 414.2801208496094 tensor(3.6711) tensor(951320.9375)
ch, vs_mean, vl_pi, beta penalty= 0 417.78851318359375 tensor(3.5575) tensor(917247.8750)
ch, vs_mean, vl_pi, beta penalty= 0 422.5783386230469 tensor(3.4637) tensor(889119.)
ch, vs_mean, vl_pi, beta penalty= 0 430.4732971191406 tensor(3.4217) tensor(876497.6250)
ch, vs_mean, vl_pi, beta penalty= 0 437.11993408203125 tensor(3.2039) tensor(811173.3125)
ch, vs_mean, vl_pi, beta penalty= 0 442.515869140625 tensor(3.0872) tensor(776148.6250)
ch, vs_mean, vl_pi, beta penalty= 0 449.02105712890625 tensor(3.0902) tensor(777045.1250)
ch, vs_mean, vl_pi, beta penalty= 0 453.3492126464844 tensor(3.0259) tensor(757755.1875)
ch, vs_mean, vl_pi, beta penalty= 0 458.23956298828125 tensor(2.9831) tensor(744935.5000)
ch, vs_mean, vl_pi, beta penalty= 0 460.2102355957031 tensor(2.8819) tensor(714580.3750)
ch, vs_mean, vl_pi, beta penalty= 0 460.8619079589844 tensor(2.7613) tensor(678397.1875)
ch, vs_mean, vl_pi, beta penalty= 0 470.0281677246094 tensor(3.0838) tensor(775138.7500)
ch, vs_mean, vl_pi, beta penalty= 0 474.3238830566406 tensor(2.9677) tensor(740321.1875)
ch, vs_mean, vl_pi, beta penalty= 0 473.3921813964844 tensor(2.8610) tensor(708302.9375)
ch, vs_mean, vl_pi, beta penalty= 0 476.768798828125 tensor(2.6497) tensor(644918.)
ch, vs_mean, vl_pi, beta penalty= 0 475.5294494628906 tensor(2.5777) tensor(623323.5000)
ch, vs_mean, vl_pi, beta penalty= 0 477.1864929199219 tensor(2.7236) tensor(667085.3125)
ch, vs_mean, vl_pi, beta penalty= 0 476.5081787109375 tensor(2.7076) tensor(662282.8125)
ch, vs_mean, vl_pi, beta penalty= 0 474.9044494628906 tensor(2.6857) tensor(655700.8750)
ch, vs_mean, vl_pi, beta penalty= 0 475.3163146972656 tensor(2.5604) tensor(618129.0625)
ch, vs_mean, vl_pi, beta penalty= 0 477.7485656738281 tensor(2.4482) tensor(584446.6875)
ch, vs_mean, vl_pi, beta penalty= 0 480.88470458984375 tensor(2.4747) tensor(592415.4375)
ch, vs_mean, vl_pi, beta penalty= 0 482.713623046875 tensor(2.5069) tensor(602060.5625)
ch, vs_mean, vl_pi, beta penalty= 0 482.9227600097656 tensor(2.5039) tensor(601167.5000)
ch, vs_mean, vl_pi, beta penalty= 0 483.52728271484375 tensor(2.4387) tensor(581614.5625)
ch, vs_mean, vl_pi, beta penalty= 0 482.75958251953125 tensor(2.3572) tensor(557169.)
ch, vs_mean, vl_pi, beta penalty= 0 483.235595703125 tensor(2.7067) tensor(662012.)
ch, vs_mean, vl_pi, beta penalty= 0 485.03277587890625 tensor(2.7125) tensor(663744.1875)
ch, vs_mean, vl_pi, beta penalty= 0 483.3516845703125 tensor(2.6690) tensor(650710.8750)
ch, vs_mean, vl_pi, beta penalty= 0 479.1451110839844 tensor(2.7208) tensor(666254.5625)
ch, vs_mean, vl_pi, beta penalty= 0 481.2345275878906 tensor(2.6297) tensor(638897.8750)
ch, vs_mean, vl_pi, beta penalty= 0 462.54547119140625 tensor(2.5431) tensor(612939.3125)
ch, vs_mean, vl_pi, beta penalty= 0 464.09295654296875 tensor(2.5141) tensor(604231.9375)
ch, vs_mean, vl_pi, beta penalty= 0 465.10162353515625 tensor(2.5320) tensor(609601.7500)
ch, vs_mean, vl_pi, beta penalty= 0 462.94281005859375 tensor(2.4156) tensor(574694.7500)
ch, vs_mean, vl_pi, beta penalty= 0 466.3711242675781 tensor(2.3299) tensor(548980.)
ch, vs_mean, vl_pi, beta penalty= 0 468.89373779296875 tensor(2.4544) tensor(586334.0625)
ch, vs_mean, vl_pi, beta penalty= 0 467.5894470214844 tensor(2.4428) tensor(582849.1875)
ch, vs_mean, vl_pi, beta penalty= 0 466.7396545410156 tensor(2.2638) tensor(529132.8125)
ch, vs_mean, vl_pi, beta penalty= 0 466.15594482421875 tensor(2.1545) tensor(496349.5000)
ch, vs_mean, vl_pi, beta penalty= 0 463.6797790527344 tensor(2.1373) tensor(491185.3438)
ch, vs_mean, vl_pi, beta penalty= 0 467.6323547363281 tensor(2.1936) tensor(508065.9062)
ch, vs_mean, vl_pi, beta penalty= 0 467.7080078125 tensor(2.1080) tensor(482405.7188)
ch, vs_mean, vl_pi, beta penalty= 0 467.1819763183594 tensor(2.0144) tensor(454308.6875)
ch, vs_mean, vl_pi, beta penalty= 0 468.78155517578125 tensor(1.9357) tensor(430712.1875)
ch, vs_mean, vl_pi, beta penalty= 0 470.6076354980469 tensor(1.9124) tensor(423731.6875)
ch, vs_mean, vl_pi, beta penalty= 0 469.81280517578125 tensor(2.2740) tensor(532206.0625)
ch, vs_mean, vl_pi, beta penalty= 0 467.66778564453125 tensor(2.2013) tensor(510380.8750)
ch, vs_mean, vl_pi, beta penalty= 0 468.3284912109375 tensor(2.0888) tensor(476625.0938)
ch, vs_mean, vl_pi, beta penalty= 0 467.7728271484375 tensor(2.0241) tensor(457241.4688)
ch, vs_mean, vl_pi, beta penalty= 0 470.1783447265625 tensor(1.8985) tensor(419562.8438)
ch, vs_mean, vl_pi, beta penalty= 0 471.2217102050781 tensor(2.0391) tensor(461742.0625)
ch, vs_mean, vl_pi, beta penalty= 0 470.60687255859375 tensor(1.8895) tensor(416843.9062)
ch, vs_mean, vl_pi, beta penalty= 0 471.4842224121094 tensor(1.9304) tensor(429111.7500)
ch, vs_mean, vl_pi, beta penalty= 0 473.8326416015625 tensor(1.8776) tensor(413273.0625)
ch, vs_mean, vl_pi, beta penalty= 0 473.035400390625 tensor(1.8839) tensor(415160.2812)
ch, vs_mean, vl_pi, beta penalty= 0 474.2414245605469 tensor(2.0130) tensor(453897.6562)
ch, vs_mean, vl_pi, beta penalty= 0 473.57330322265625 tensor(1.9372) tensor(431154.1562)
ch, vs_mean, vl_pi, beta penalty= 0 472.10162353515625 tensor(1.8769) tensor(413070.3438)
ch, vs_mean, vl_pi, beta penalty= 0 471.68560791015625 tensor(1.7984) tensor(389517.6562)
ch, vs_mean, vl_pi, beta penalty= 0 474.61419677734375 tensor(1.7481) tensor(374427.5000)
ch, vs_mean, vl_pi, beta penalty= 0 473.2016296386719 tensor(2.1752) tensor(502562.6562)
ch, vs_mean, vl_pi, beta penalty= 0 473.6122131347656 tensor(2.0431) tensor(462929.7500)
ch, vs_mean, vl_pi, beta penalty= 0 476.56353759765625 tensor(1.8737) tensor(412095.4375)
ch, vs_mean, vl_pi, beta penalty= 0 477.1856689453125 tensor(1.7960) tensor(388795.)
ch, vs_mean, vl_pi, beta penalty= 0 481.78375244140625 tensor(1.7262) tensor(367856.9062)
ch, vs_mean, vl_pi, beta penalty= 0 485.7828369140625 tensor(1.8479) tensor(404363.6875)
ch, vs_mean, vl_pi, beta penalty= 0 484.030517578125 tensor(1.7706) tensor(381180.7188)
ch, vs_mean, vl_pi, beta penalty= 0 483.50048828125 tensor(1.6694) tensor(350814.9062)
ch, vs_mean, vl_pi, beta penalty= 0 484.070068359375 tensor(1.6287) tensor(338606.5938)
ch, vs_mean, vl_pi, beta penalty= 0 484.1340637207031 tensor(1.6039) tensor(331158.9688)
ch, vs_mean, vl_pi, beta penalty= 0 485.4424743652344 tensor(1.6922) tensor(357649.1250)
ch, vs_mean, vl_pi, beta penalty= 0 484.4106750488281 tensor(1.7097) tensor(362919.0938)
ch, vs_mean, vl_pi, beta penalty= 0 482.7967224121094 tensor(1.6401) tensor(342015.6875)
ch, vs_mean, vl_pi, beta penalty= 0 482.02056884765625 tensor(1.6064) tensor(331931.7188)
ch, vs_mean, vl_pi, beta penalty= 0 478.5871276855469 tensor(1.5688) tensor(320631.5938)
ch, vs_mean, vl_pi, beta penalty= 0 473.588623046875 tensor(1.8488) tensor(404628.5625)
ch, vs_mean, vl_pi, beta penalty= 0 472.7401123046875 tensor(1.7626) tensor(378785.6250)
ch, vs_mean, vl_pi, beta penalty= 0 477.8314208984375 tensor(1.7041) tensor(361229.3125)
