n0093
Tue Aug 25 04:39:59 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 5 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.480583454798156 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.480583454798156 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 0.5933383107185364 tensor(3.6020) tensor(102061.0391)
ch, vs_mean, vl_pi, beta penalty= 0 3.1175169944763184 tensor(2.1527) tensor(58581.6914)
ch, vs_mean, vl_pi, beta penalty= 0 6.441385269165039 tensor(2.2065) tensor(60194.8984)
ch, vs_mean, vl_pi, beta penalty= 0 9.420019149780273 tensor(2.3305) tensor(63915.3750)
ch, vs_mean, vl_pi, beta penalty= 0 11.911571502685547 tensor(2.4508) tensor(67524.0938)
ch, vs_mean, vl_pi, beta penalty= 0 13.46153450012207 tensor(2.1576) tensor(58727.4180)
ch, vs_mean, vl_pi, beta penalty= 0 15.882283210754395 tensor(2.0243) tensor(54729.3672)
ch, vs_mean, vl_pi, beta penalty= 0 17.520151138305664 tensor(1.8298) tensor(48894.3281)
ch, vs_mean, vl_pi, beta penalty= 0 19.006088256835938 tensor(1.8122) tensor(48367.4688)
ch, vs_mean, vl_pi, beta penalty= 0 20.143381118774414 tensor(1.6951) tensor(44854.1367)
ch, vs_mean, vl_pi, beta penalty= 0 16.903568267822266 tensor(1.6357) tensor(43072.2695)
ch, vs_mean, vl_pi, beta penalty= 0 18.782421112060547 tensor(1.8196) tensor(48588.1875)
ch, vs_mean, vl_pi, beta penalty= 0 20.194408416748047 tensor(1.8979) tensor(50937.4336)
ch, vs_mean, vl_pi, beta penalty= 0 21.198558807373047 tensor(2.0076) tensor(54226.9648)
ch, vs_mean, vl_pi, beta penalty= 0 22.67108917236328 tensor(1.9715) tensor(53145.3555)
ch, vs_mean, vl_pi, beta penalty= 0 23.193439483642578 tensor(2.1409) tensor(58227.2617)
ch, vs_mean, vl_pi, beta penalty= 0 23.677024841308594 tensor(2.2080) tensor(60240.0898)
ch, vs_mean, vl_pi, beta penalty= 0 24.054920196533203 tensor(2.3191) tensor(63572.6445)
ch, vs_mean, vl_pi, beta penalty= 0 24.680883407592773 tensor(2.3302) tensor(63906.6406)
ch, vs_mean, vl_pi, beta penalty= 0 25.539569854736328 tensor(2.4458) tensor(67373.3984)
ch, vs_mean, vl_pi, beta penalty= 0 27.675891876220703 tensor(3.0653) tensor(85959.5625)
ch, vs_mean, vl_pi, beta penalty= 0 28.414501190185547 tensor(2.9866) tensor(83599.4375)
ch, vs_mean, vl_pi, beta penalty= 0 29.11681365966797 tensor(2.9141) tensor(81423.7422)
ch, vs_mean, vl_pi, beta penalty= 0 29.63022804260254 tensor(2.8734) tensor(80201.2656)
ch, vs_mean, vl_pi, beta penalty= 0 30.355388641357422 tensor(2.8691) tensor(80072.0312)
ch, vs_mean, vl_pi, beta penalty= 0 27.623912811279297 tensor(2.6716) tensor(74146.6094)
ch, vs_mean, vl_pi, beta penalty= 0 28.969703674316406 tensor(2.6509) tensor(73526.9219)
ch, vs_mean, vl_pi, beta penalty= 0 30.86644172668457 tensor(2.6660) tensor(73980.3047)
