n0093
Tue Aug 25 05:25:03 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 3 seed= 3 env= HalfCheetahForwardObstaclePerturbed k_epochs 5
env=HalfCheetahForwardObstaclePerturbed
state_dim=18
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:8.489046217548397 	 evaluate_cost:34.657359027996606 	 evaluate_max_cost:0.03465735902799726
New best model found! Saving model with reward: 8.489046217548397 and max cost: 0.03465735902799726
ch, vs_mean, vl_pi, beta penalty= 0 0.17105704545974731 tensor(1.6978) tensor(44934.3789)
ch, vs_mean, vl_pi, beta penalty= 0 3.173919439315796 tensor(0.8154) tensor(18460.7070)
ch, vs_mean, vl_pi, beta penalty= 0 7.272814750671387 tensor(0.5741) tensor(11221.5938)
ch, vs_mean, vl_pi, beta penalty= 0 11.5352783203125 tensor(0.5704) tensor(11111.0762)
ch, vs_mean, vl_pi, beta penalty= 0 14.926815032958984 tensor(0.4403) tensor(7207.6807)
ch, vs_mean, vl_pi, beta penalty= 0 15.142843246459961 tensor(0.5288) tensor(9862.8154)
ch, vs_mean, vl_pi, beta penalty= 0 17.356678009033203 tensor(1.7870) tensor(47610.3594)
ch, vs_mean, vl_pi, beta penalty= 0 18.079397201538086 tensor(1.9318) tensor(51954.7344)
ch, vs_mean, vl_pi, beta penalty= 0 18.979394912719727 tensor(2.0713) tensor(56140.2930)
ch, vs_mean, vl_pi, beta penalty= 0 19.843753814697266 tensor(2.1477) tensor(58430.1641)
ch, vs_mean, vl_pi, beta penalty= 0 20.558366775512695 tensor(1.4818) tensor(38453.9961)
ch, vs_mean, vl_pi, beta penalty= 0 21.08228302001953 tensor(1.4036) tensor(36107.5234)
ch, vs_mean, vl_pi, beta penalty= 0 21.436344146728516 tensor(1.2826) tensor(32477.3496)
ch, vs_mean, vl_pi, beta penalty= 0 21.600170135498047 tensor(1.2379) tensor(31138.4258)
ch, vs_mean, vl_pi, beta penalty= 0 21.536413192749023 tensor(1.1691) tensor(29071.7031)
ch, vs_mean, vl_pi, beta penalty= 0 23.137840270996094 tensor(1.9764) tensor(53292.9062)
ch, vs_mean, vl_pi, beta penalty= 0 24.636133193969727 tensor(2.0321) tensor(54963.8906)
ch, vs_mean, vl_pi, beta penalty= 0 26.025436401367188 tensor(2.1594) tensor(58781.1602)
ch, vs_mean, vl_pi, beta penalty= 0 27.469833374023438 tensor(2.1802) tensor(59405.8242)
ch, vs_mean, vl_pi, beta penalty= 0 28.0340576171875 tensor(2.2574) tensor(61722.2578)
ch, vs_mean, vl_pi, beta penalty= 0 26.752155303955078 tensor(3.0097) tensor(84290.3828)
ch, vs_mean, vl_pi, beta penalty= 0 27.08204460144043 tensor(2.9114) tensor(81342.3984)
