2026-03-09 12:01:58,612 - INFO - Ep 50 | Reward: 5.0 | Cost: 0.64 | V_L(pi): 0.000  | Actor Loss: 0.351 | Best Reward (under safety): 26.0
2026-03-09 12:01:59,577 - INFO - Ep 100 | Reward: 13.0 | Cost: 0.61 | V_L(pi): 0.000  | Actor Loss: 1.517 | Best Reward (under safety): 36.0
2026-03-09 12:02:00,654 - INFO - Ep 150 | Reward: 21.0 | Cost: 3.16 | V_L(pi): 1.000  | Actor Loss: 2.457 | Best Reward (under safety): 36.0
2026-03-09 12:02:01,969 - INFO - Ep 200 | Reward: 6.0 | Cost: 0.53 | V_L(pi): 1.000  | Actor Loss: -4.015 | Best Reward (under safety): 43.0
2026-03-09 12:02:03,691 - INFO - Ep 250 | Reward: 37.0 | Cost: 14.35 | V_L(pi): 1.000  | Actor Loss: 3.976 | Best Reward (under safety): 55.0
2026-03-09 12:02:05,659 - INFO - Ep 300 | Reward: 49.0 | Cost: 27.71 | V_L(pi): 1.000  | Actor Loss: 4.767 | Best Reward (under safety): 57.0
2026-03-09 12:02:08,951 - INFO - Ep 350 | Reward: 30.0 | Cost: 10.14 | V_L(pi): 1.000  | Actor Loss: -1.113 | Best Reward (under safety): 87.0
2026-03-09 12:02:12,507 - INFO - Ep 400 | Reward: 57.0 | Cost: 14.67 | V_L(pi): 1.000  | Actor Loss: 1.519 | Best Reward (under safety): 130.0
2026-03-09 12:02:16,763 - INFO - Ep 450 | Reward: 56.0 | Cost: 48.91 | V_L(pi): 1.000  | Actor Loss: 2.259 | Best Reward (under safety): 162.0
2026-03-09 12:02:21,860 - INFO - Ep 500 | Reward: 49.0 | Cost: 40.69 | V_L(pi): 1.000  | Actor Loss: -0.020 | Best Reward (under safety): 162.0
2026-03-09 12:02:26,893 - INFO - Ep 550 | Reward: 88.0 | Cost: 14.03 | V_L(pi): 1.000  | Actor Loss: 2.594 | Best Reward (under safety): 162.0
2026-03-09 12:02:32,729 - INFO - Ep 600 | Reward: 56.0 | Cost: 16.68 | V_L(pi): 1.000  | Actor Loss: -3.123 | Best Reward (under safety): 162.0
2026-03-09 12:02:39,154 - INFO - Ep 650 | Reward: 70.0 | Cost: 42.72 | V_L(pi): 1.000  | Actor Loss: -1.518 | Best Reward (under safety): 167.0
2026-03-09 12:02:45,401 - INFO - Ep 700 | Reward: 107.0 | Cost: 38.99 | V_L(pi): 1.000  | Actor Loss: 2.183 | Best Reward (under safety): 167.0
2026-03-09 12:02:52,693 - INFO - Ep 750 | Reward: 141.0 | Cost: 119.55 | V_L(pi): 1.000  | Actor Loss: 5.710 | Best Reward (under safety): 167.0
2026-03-09 12:02:59,460 - INFO - Ep 800 | Reward: 145.0 | Cost: 103.24 | V_L(pi): 1.000  | Actor Loss: 3.274 | Best Reward (under safety): 167.0
2026-03-09 12:03:06,182 - INFO - Ep 850 | Reward: 63.0 | Cost: 54.99 | V_L(pi): 1.000  | Actor Loss: -1.267 | Best Reward (under safety): 167.0
2026-03-09 12:03:13,433 - INFO - Ep 900 | Reward: 88.0 | Cost: 31.65 | V_L(pi): 1.000  | Actor Loss: -1.863 | Best Reward (under safety): 167.0
2026-03-09 12:03:20,841 - INFO - Ep 950 | Reward: 79.0 | Cost: 59.93 | V_L(pi): 1.000  | Actor Loss: -1.177 | Best Reward (under safety): 167.0
2026-03-09 12:03:29,073 - INFO - Ep 1000 | Reward: 162.0 | Cost: 88.60 | V_L(pi): 1.000  | Actor Loss: 2.515 | Best Reward (under safety): 167.0
