2026-03-09 12:52:15,341 - INFO - Ep 1 | Reward: 20.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 9.394 | Optimized: Cost
2026-03-09 12:52:15,413 - INFO - Ep 2 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 4.397 | Optimized: Cost
2026-03-09 12:52:15,430 - INFO - Ep 3 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.960 | Optimized: Cost
2026-03-09 12:52:15,441 - INFO - Ep 4 | Reward: 6.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.950 | Optimized: Cost
2026-03-09 12:52:15,458 - INFO - Ep 5 | Reward: 11.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 5.321 | Optimized: Cost
2026-03-09 12:52:15,470 - INFO - Ep 6 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:15,482 - INFO - Ep 7 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.431 | Optimized: Cost
2026-03-09 12:52:15,492 - INFO - Ep 8 | Reward: 4.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 12:52:15,508 - INFO - Ep 9 | Reward: 12.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 6.268 | Optimized: Cost
2026-03-09 12:52:15,521 - INFO - Ep 10 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 2.467 | Optimized: Cost
2026-03-09 12:52:15,533 - INFO - Ep 11 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 12:52:15,548 - INFO - Ep 12 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.908 | Optimized: Cost
2026-03-09 12:52:15,560 - INFO - Ep 13 | Reward: 7.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 900.000 | Reward Term: 3.921 | Optimized: Cost
