2026-03-09 12:57:52,808 - INFO - Ep 1 | Reward: 8.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 12:57:52,990 - INFO - Ep 2 | Reward: 10.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 12:57:53,013 - INFO - Ep 3 | Reward: 5.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,041 - INFO - Ep 4 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,065 - INFO - Ep 5 | Reward: 5.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,075 - INFO - Ep 6 | Reward: 5.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,100 - INFO - Ep 7 | Reward: 8.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,147 - INFO - Ep 8 | Reward: 14.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 12:57:53,183 - INFO - Ep 9 | Reward: 7.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 12:57:53,193 - INFO - Ep 10 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,215 - INFO - Ep 11 | Reward: 4.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,242 - INFO - Ep 12 | Reward: 9.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 12:57:53,266 - INFO - Ep 13 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 12:57:53,278 - INFO - Ep 14 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 12:57:53,300 - INFO - Ep 15 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,326 - INFO - Ep 16 | Reward: 8.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,337 - INFO - Ep 17 | Reward: 4.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,346 - INFO - Ep 18 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,357 - INFO - Ep 19 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 12:57:53,367 - INFO - Ep 20 | Reward: 6.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 12:57:53,383 - INFO - Ep 21 | Reward: 10.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 12:57:53,396 - INFO - Ep 22 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 12:57:53,409 - INFO - Ep 23 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 12:57:53,423 - INFO - Ep 24 | Reward: 8.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,432 - INFO - Ep 25 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,445 - INFO - Ep 26 | Reward: 8.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 12:57:53,457 - INFO - Ep 27 | Reward: 6.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 12:57:53,467 - INFO - Ep 28 | Reward: 5.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,477 - INFO - Ep 29 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 12:57:53,489 - INFO - Ep 30 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 12:57:53,511 - INFO - Ep 31 | Reward: 12.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 12:57:53,526 - INFO - Ep 32 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 12:57:53,537 - INFO - Ep 33 | Reward: 4.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 12:57:53,551 - INFO - Ep 34 | Reward: 9.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 12:57:53,563 - INFO - Ep 35 | Reward: 6.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 2.950 | Optimized: Reward
