2026-03-09 13:11:09,868 - INFO - Ep 1 | Reward: 12.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 13:11:10,004 - INFO - Ep 2 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 13:11:10,027 - INFO - Ep 3 | Reward: 4.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 1.980 | Optimized: Cost
2026-03-09 13:11:10,056 - INFO - Ep 4 | Reward: 9.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 13:11:10,106 - INFO - Ep 5 | Reward: 14.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 13:11:10,132 - INFO - Ep 6 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 13:11:10,144 - INFO - Ep 7 | Reward: 6.0 | Cost: 6.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 13:11:10,170 - INFO - Ep 8 | Reward: 7.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 13:11:10,205 - INFO - Ep 9 | Reward: 9.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 13:11:10,239 - INFO - Ep 10 | Reward: 15.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 7.639 | Optimized: Reward
2026-03-09 13:11:10,266 - INFO - Ep 11 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 13:11:10,292 - INFO - Ep 12 | Reward: 9.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 13:11:10,319 - INFO - Ep 13 | Reward: 8.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 13:11:10,361 - INFO - Ep 14 | Reward: 11.0 | Cost: 4.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 13:11:10,401 - INFO - Ep 15 | Reward: 14.0 | Cost: 6.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 13:11:10,422 - INFO - Ep 16 | Reward: 8.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 13:11:10,450 - INFO - Ep 17 | Reward: 6.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 13:11:10,490 - INFO - Ep 18 | Reward: 8.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 13:11:10,520 - INFO - Ep 19 | Reward: 13.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 13:11:10,557 - INFO - Ep 20 | Reward: 11.0 | Cost: 5.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 13:11:10,591 - INFO - Ep 21 | Reward: 10.0 | Cost: 3.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 13:11:10,615 - INFO - Ep 22 | Reward: 6.0 | Cost: 2.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 2.700 | Reward Term: 2.950 | Optimized: Reward
