2026-03-09 13:55:51,722 - INFO - Ep 1 | Reward: 6.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.900 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 13:55:51,840 - INFO - Ep 2 | Reward: 6.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 13:55:51,883 - INFO - Ep 3 | Reward: 12.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.918 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 13:55:51,913 - INFO - Ep 4 | Reward: 9.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.927 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 13:55:51,961 - INFO - Ep 5 | Reward: 15.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.936 | Reward Term: 7.161 | Optimized: Reward
2026-03-09 13:55:51,985 - INFO - Ep 6 | Reward: 4.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.945 | Reward Term: 2.475 | Optimized: Reward
2026-03-09 13:55:51,996 - INFO - Ep 7 | Reward: 6.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.953 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 13:55:52,019 - INFO - Ep 8 | Reward: 5.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.962 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 13:55:52,042 - INFO - Ep 9 | Reward: 5.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.971 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:52,064 - INFO - Ep 10 | Reward: 5.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.980 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 13:55:52,074 - INFO - Ep 11 | Reward: 5.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.989 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 13:55:52,115 - INFO - Ep 12 | Reward: 9.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.998 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 13:55:52,166 - INFO - Ep 13 | Reward: 18.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.007 | Reward Term: 8.983 | Optimized: Reward
