2026-03-09 14:09:47,269 - INFO - Ep 1 | Reward: 6.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.900 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:09:47,336 - INFO - Ep 2 | Reward: 6.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:09:47,358 - INFO - Ep 3 | Reward: 15.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.918 | Reward Term: 7.639 | Optimized: Reward
2026-03-09 14:09:47,386 - INFO - Ep 4 | Reward: 20.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.927 | Reward Term: 9.864 | Optimized: Reward
2026-03-09 14:09:47,403 - INFO - Ep 5 | Reward: 7.0 | Cost: 0.23 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.936 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:47,431 - INFO - Ep 6 | Reward: 17.0 | Cost: 0.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.945 | Reward Term: 8.063 | Optimized: Reward
2026-03-09 14:09:47,444 - INFO - Ep 7 | Reward: 6.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.953 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:09:47,460 - INFO - Ep 8 | Reward: 9.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.962 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:47,472 - INFO - Ep 9 | Reward: 6.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.971 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:09:47,485 - INFO - Ep 10 | Reward: 6.0 | Cost: 0.23 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.980 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:47,495 - INFO - Ep 11 | Reward: 5.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.989 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 14:09:47,511 - INFO - Ep 12 | Reward: 9.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.998 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:47,522 - INFO - Ep 13 | Reward: 4.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.007 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 14:09:47,534 - INFO - Ep 14 | Reward: 6.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.016 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:47,547 - INFO - Ep 15 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.025 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:47,560 - INFO - Ep 16 | Reward: 6.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.034 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:47,580 - INFO - Ep 17 | Reward: 13.0 | Cost: 0.32 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.043 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 14:09:47,594 - INFO - Ep 18 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.051 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:47,611 - INFO - Ep 19 | Reward: 11.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.060 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:09:47,626 - INFO - Ep 20 | Reward: 8.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.069 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:09:47,653 - INFO - Ep 21 | Reward: 18.0 | Cost: 0.46 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.078 | Reward Term: 8.510 | Optimized: Reward
2026-03-09 14:09:47,677 - INFO - Ep 22 | Reward: 13.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.087 | Reward Term: 6.728 | Optimized: Reward
2026-03-09 14:09:47,689 - INFO - Ep 23 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.096 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 14:09:47,708 - INFO - Ep 24 | Reward: 13.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.105 | Reward Term: 6.728 | Optimized: Reward
2026-03-09 14:09:47,726 - INFO - Ep 25 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.114 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:09:47,740 - INFO - Ep 26 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.123 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 14:09:47,754 - INFO - Ep 27 | Reward: 7.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.132 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:47,775 - INFO - Ep 28 | Reward: 12.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.141 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 14:09:47,801 - INFO - Ep 29 | Reward: 15.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.149 | Reward Term: 7.161 | Optimized: Reward
2026-03-09 14:09:47,831 - INFO - Ep 30 | Reward: 11.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.158 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:09:47,856 - INFO - Ep 31 | Reward: 9.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.167 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 14:09:47,870 - INFO - Ep 32 | Reward: 8.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.176 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:09:47,887 - INFO - Ep 33 | Reward: 11.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.185 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:09:47,906 - INFO - Ep 34 | Reward: 11.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.194 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:09:47,938 - INFO - Ep 35 | Reward: 6.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.203 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:47,985 - INFO - Ep 36 | Reward: 5.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.212 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:09:48,035 - INFO - Ep 37 | Reward: 9.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.221 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:48,095 - INFO - Ep 38 | Reward: 15.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.230 | Reward Term: 7.639 | Optimized: Reward
2026-03-09 14:09:48,138 - INFO - Ep 39 | Reward: 9.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.239 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 14:09:48,161 - INFO - Ep 40 | Reward: 6.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.247 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:48,172 - INFO - Ep 41 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.256 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 14:09:48,184 - INFO - Ep 42 | Reward: 6.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.265 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:48,204 - INFO - Ep 43 | Reward: 13.0 | Cost: 0.34 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.274 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 14:09:48,246 - INFO - Ep 44 | Reward: 30.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.283 | Reward Term: 13.646 | Optimized: Reward
2026-03-09 14:09:48,263 - INFO - Ep 45 | Reward: 5.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.292 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 14:09:48,279 - INFO - Ep 46 | Reward: 9.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.301 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:48,298 - INFO - Ep 47 | Reward: 11.0 | Cost: 0.28 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.310 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:09:48,318 - INFO - Ep 48 | Reward: 12.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.319 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 14:09:48,336 - INFO - Ep 49 | Reward: 9.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.328 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 14:09:48,403 - INFO - Ep 50 | Reward: 20.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.337 | Reward Term: 9.394 | Optimized: Reward
2026-03-09 14:09:49,142 - INFO - Ep 51 | Reward: 9.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.346 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:49,164 - INFO - Ep 52 | Reward: 14.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.354 | Reward Term: 7.185 | Optimized: Reward
2026-03-09 14:09:49,178 - INFO - Ep 53 | Reward: 5.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.363 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:09:49,189 - INFO - Ep 54 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.372 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:09:49,221 - INFO - Ep 55 | Reward: 24.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.381 | Reward Term: 11.129 | Optimized: Reward
2026-03-09 14:09:49,238 - INFO - Ep 56 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.390 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:49,251 - INFO - Ep 57 | Reward: 7.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.399 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:09:49,268 - INFO - Ep 58 | Reward: 11.0 | Cost: 0.02 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:09:49,289 - INFO - Ep 59 | Reward: 14.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.417 | Reward Term: 7.185 | Optimized: Reward
2026-03-09 14:09:49,306 - INFO - Ep 60 | Reward: 8.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.426 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 14:09:49,325 - INFO - Ep 61 | Reward: 12.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.435 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 14:09:49,347 - INFO - Ep 62 | Reward: 13.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.444 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 14:09:49,365 - INFO - Ep 63 | Reward: 9.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.452 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:49,385 - INFO - Ep 64 | Reward: 12.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.461 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 14:09:49,402 - INFO - Ep 65 | Reward: 9.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.470 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:49,430 - INFO - Ep 66 | Reward: 19.0 | Cost: 0.42 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.479 | Reward Term: 8.953 | Optimized: Reward
2026-03-09 14:09:49,451 - INFO - Ep 67 | Reward: 11.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.488 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:09:49,464 - INFO - Ep 68 | Reward: 5.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.497 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:09:49,486 - INFO - Ep 69 | Reward: 15.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.506 | Reward Term: 7.161 | Optimized: Reward
2026-03-09 14:09:49,504 - INFO - Ep 70 | Reward: 10.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.515 | Reward Term: 5.338 | Optimized: Reward
2026-03-09 14:09:49,521 - INFO - Ep 71 | Reward: 9.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.524 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:49,535 - INFO - Ep 72 | Reward: 7.0 | Cost: 0.08 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:49,557 - INFO - Ep 73 | Reward: 14.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.542 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:09:49,573 - INFO - Ep 74 | Reward: 7.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.550 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:49,588 - INFO - Ep 75 | Reward: 8.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.559 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 14:09:49,599 - INFO - Ep 76 | Reward: 6.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.568 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:09:49,614 - INFO - Ep 77 | Reward: 7.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.577 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:49,628 - INFO - Ep 78 | Reward: 8.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.586 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 14:09:49,641 - INFO - Ep 79 | Reward: 7.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.595 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:09:49,666 - INFO - Ep 80 | Reward: 17.0 | Cost: 0.29 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.604 | Reward Term: 8.063 | Optimized: Reward
2026-03-09 14:09:49,694 - INFO - Ep 81 | Reward: 18.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.613 | Reward Term: 8.983 | Optimized: Reward
2026-03-09 14:09:49,715 - INFO - Ep 82 | Reward: 10.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.622 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:09:49,731 - INFO - Ep 83 | Reward: 7.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.631 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:49,751 - INFO - Ep 84 | Reward: 12.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.640 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 14:09:49,770 - INFO - Ep 85 | Reward: 10.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.648 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:09:49,789 - INFO - Ep 86 | Reward: 12.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.657 | Reward Term: 6.268 | Optimized: Reward
2026-03-09 14:09:49,806 - INFO - Ep 87 | Reward: 8.0 | Cost: 0.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.666 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 14:09:49,827 - INFO - Ep 88 | Reward: 15.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.675 | Reward Term: 7.639 | Optimized: Reward
2026-03-09 14:09:49,843 - INFO - Ep 89 | Reward: 7.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.684 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:49,875 - INFO - Ep 90 | Reward: 22.0 | Cost: 0.63 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.693 | Reward Term: 10.267 | Optimized: Reward
2026-03-09 14:09:49,901 - INFO - Ep 91 | Reward: 14.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.702 | Reward Term: 7.185 | Optimized: Reward
2026-03-09 14:09:49,925 - INFO - Ep 92 | Reward: 15.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.711 | Reward Term: 7.639 | Optimized: Reward
2026-03-09 14:09:49,941 - INFO - Ep 93 | Reward: 8.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.720 | Reward Term: 3.908 | Optimized: Reward
2026-03-09 14:09:49,966 - INFO - Ep 94 | Reward: 17.0 | Cost: 0.40 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.729 | Reward Term: 8.538 | Optimized: Reward
2026-03-09 14:09:49,985 - INFO - Ep 95 | Reward: 10.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.738 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:09:50,005 - INFO - Ep 96 | Reward: 11.0 | Cost: 0.25 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.746 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:09:50,023 - INFO - Ep 97 | Reward: 10.0 | Cost: 0.28 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.755 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:09:50,035 - INFO - Ep 98 | Reward: 5.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.764 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:09:50,055 - INFO - Ep 99 | Reward: 13.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.773 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 14:09:50,086 - INFO - Ep 100 | Reward: 21.0 | Cost: 0.23 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.782 | Reward Term: 9.832 | Optimized: Reward
2026-03-09 14:09:50,434 - INFO - Ep 101 | Reward: 5.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.791 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:09:50,448 - INFO - Ep 102 | Reward: 8.0 | Cost: 0.05 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.800 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:09:50,472 - INFO - Ep 103 | Reward: 15.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.809 | Reward Term: 7.161 | Optimized: Reward
2026-03-09 14:09:50,488 - INFO - Ep 104 | Reward: 8.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.818 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:09:50,515 - INFO - Ep 105 | Reward: 19.0 | Cost: 0.23 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.827 | Reward Term: 8.953 | Optimized: Reward
2026-03-09 14:09:50,530 - INFO - Ep 106 | Reward: 5.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.836 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:09:50,551 - INFO - Ep 107 | Reward: 14.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.844 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:09:50,572 - INFO - Ep 108 | Reward: 12.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.853 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 14:09:50,598 - INFO - Ep 109 | Reward: 17.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.862 | Reward Term: 8.063 | Optimized: Reward
2026-03-09 14:09:50,623 - INFO - Ep 110 | Reward: 14.0 | Cost: 0.53 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.871 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:09:50,641 - INFO - Ep 111 | Reward: 9.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.880 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:09:50,662 - INFO - Ep 112 | Reward: 13.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.889 | Reward Term: 6.247 | Optimized: Reward
2026-03-09 14:09:50,700 - INFO - Ep 113 | Reward: 27.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.898 | Reward Term: 12.400 | Optimized: Reward
2026-03-09 14:09:50,720 - INFO - Ep 114 | Reward: 8.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.907 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:09:50,733 - INFO - Ep 115 | Reward: 6.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.916 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:09:50,746 - INFO - Ep 116 | Reward: 7.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.925 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:09:50,765 - INFO - Ep 117 | Reward: 13.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.934 | Reward Term: 6.728 | Optimized: Reward
