2026-03-09 14:14:25,445 - INFO - Ep 1 | Reward: 13.0 | Cost: 0.33 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.900 | Reward Term: 6.728 | Optimized: Reward
2026-03-09 14:14:25,571 - INFO - Ep 2 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.900 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 14:14:25,597 - INFO - Ep 3 | Reward: 8.0 | Cost: 0.36 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.901 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:14:25,623 - INFO - Ep 4 | Reward: 8.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.901 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:14:25,649 - INFO - Ep 5 | Reward: 7.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.902 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:25,692 - INFO - Ep 6 | Reward: 10.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.902 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:25,716 - INFO - Ep 7 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.903 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:25,744 - INFO - Ep 8 | Reward: 9.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.903 | Reward Term: 4.382 | Optimized: Reward
2026-03-09 14:14:25,754 - INFO - Ep 9 | Reward: 4.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.904 | Reward Term: 1.980 | Optimized: Reward
2026-03-09 14:14:25,797 - INFO - Ep 10 | Reward: 11.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.904 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:14:25,823 - INFO - Ep 11 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.905 | Reward Term: 2.950 | Optimized: Reward
2026-03-09 14:14:25,854 - INFO - Ep 12 | Reward: 11.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.905 | Reward Term: 5.321 | Optimized: Reward
2026-03-09 14:14:25,884 - INFO - Ep 13 | Reward: 10.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.905 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:25,908 - INFO - Ep 14 | Reward: 5.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.906 | Reward Term: 2.960 | Optimized: Reward
2026-03-09 14:14:25,931 - INFO - Ep 15 | Reward: 7.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.906 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:25,957 - INFO - Ep 16 | Reward: 7.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.907 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:25,983 - INFO - Ep 17 | Reward: 7.0 | Cost: 0.25 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.907 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:26,012 - INFO - Ep 18 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.908 | Reward Term: 5.804 | Optimized: Reward
2026-03-09 14:14:26,035 - INFO - Ep 19 | Reward: 6.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.908 | Reward Term: 3.442 | Optimized: Reward
2026-03-09 14:14:26,077 - INFO - Ep 20 | Reward: 10.0 | Cost: 0.23 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 4.853 | Optimized: Reward
2026-03-09 14:14:26,103 - INFO - Ep 21 | Reward: 7.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 3.921 | Optimized: Reward
2026-03-09 14:14:26,129 - INFO - Ep 22 | Reward: 8.0 | Cost: 0.25 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 4.397 | Optimized: Reward
2026-03-09 14:14:26,155 - INFO - Ep 23 | Reward: 7.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.910 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:26,220 - INFO - Ep 24 | Reward: 30.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.910 | Reward Term: 13.646 | Optimized: Reward
2026-03-09 14:14:26,266 - INFO - Ep 25 | Reward: 9.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.911 | Reward Term: 4.869 | Optimized: Reward
2026-03-09 14:14:26,289 - INFO - Ep 26 | Reward: 5.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.911 | Reward Term: 2.467 | Optimized: Reward
2026-03-09 14:14:26,341 - INFO - Ep 27 | Reward: 20.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.912 | Reward Term: 9.864 | Optimized: Reward
2026-03-09 14:14:26,391 - INFO - Ep 28 | Reward: 14.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.912 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:14:26,425 - INFO - Ep 29 | Reward: 7.0 | Cost: 0.39 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.913 | Reward Term: 3.431 | Optimized: Reward
2026-03-09 14:14:26,462 - INFO - Ep 30 | Reward: 12.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.913 | Reward Term: 5.785 | Optimized: Reward
2026-03-09 14:14:26,534 - INFO - Ep 31 | Reward: 14.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.914 | Reward Term: 6.706 | Optimized: Reward
2026-03-09 14:14:26,606 - INFO - Ep 32 | Reward: 16.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.914 | Reward Term: 7.614 | Optimized: Reward
