2026-03-09 15:28:26,415 - INFO - Ep 1 | Reward: 6.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.900 | Reward Term: 2.950 | Beta: 1.0000 | Optimized: Reward
2026-03-09 15:28:26,481 - INFO - Ep 2 | Reward: 7.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 3.431 | Beta: 1.0099 | Optimized: Reward
2026-03-09 15:28:26,495 - INFO - Ep 3 | Reward: 7.0 | Cost: 0.15 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.918 | Reward Term: 3.431 | Beta: 1.0198 | Optimized: Reward
2026-03-09 15:28:26,515 - INFO - Ep 4 | Reward: 13.0 | Cost: 0.46 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.927 | Reward Term: 6.247 | Beta: 1.0297 | Optimized: Reward
2026-03-09 15:28:26,530 - INFO - Ep 5 | Reward: 7.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.936 | Reward Term: 3.431 | Beta: 1.0396 | Optimized: Reward
2026-03-09 15:28:26,541 - INFO - Ep 6 | Reward: 5.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.945 | Reward Term: 2.467 | Beta: 1.0495 | Optimized: Reward
2026-03-09 15:28:26,551 - INFO - Ep 7 | Reward: 6.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.953 | Reward Term: 3.442 | Beta: 1.0594 | Optimized: Reward
2026-03-09 15:28:26,570 - INFO - Ep 8 | Reward: 12.0 | Cost: 0.28 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.962 | Reward Term: 5.785 | Beta: 1.0693 | Optimized: Reward
2026-03-09 15:28:26,582 - INFO - Ep 9 | Reward: 5.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.971 | Reward Term: 2.467 | Beta: 1.0792 | Optimized: Reward
2026-03-09 15:28:26,600 - INFO - Ep 10 | Reward: 11.0 | Cost: 0.41 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.980 | Reward Term: 5.321 | Beta: 1.0891 | Optimized: Reward
2026-03-09 15:28:26,610 - INFO - Ep 11 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.989 | Reward Term: 1.980 | Beta: 1.0990 | Optimized: Reward
2026-03-09 15:28:26,622 - INFO - Ep 12 | Reward: 6.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.998 | Reward Term: 2.950 | Beta: 1.1089 | Optimized: Reward
2026-03-09 15:28:26,633 - INFO - Ep 13 | Reward: 6.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.007 | Reward Term: 3.442 | Beta: 1.1188 | Optimized: Reward
2026-03-09 15:28:26,648 - INFO - Ep 14 | Reward: 9.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.016 | Reward Term: 4.382 | Beta: 1.1287 | Optimized: Reward
2026-03-09 15:28:26,658 - INFO - Ep 15 | Reward: 5.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.025 | Reward Term: 2.960 | Beta: 1.1386 | Optimized: Reward
2026-03-09 15:28:26,669 - INFO - Ep 16 | Reward: 6.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.034 | Reward Term: 2.950 | Beta: 1.1485 | Optimized: Reward
2026-03-09 15:28:26,686 - INFO - Ep 17 | Reward: 11.0 | Cost: 0.27 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.043 | Reward Term: 5.804 | Beta: 1.1584 | Optimized: Reward
2026-03-09 15:28:26,699 - INFO - Ep 18 | Reward: 7.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.051 | Reward Term: 3.921 | Beta: 1.1683 | Optimized: Reward
2026-03-09 15:28:26,732 - INFO - Ep 19 | Reward: 24.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.060 | Reward Term: 11.129 | Beta: 1.1782 | Optimized: Reward
2026-03-09 15:28:26,753 - INFO - Ep 20 | Reward: 10.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.069 | Reward Term: 4.853 | Beta: 1.1881 | Optimized: Reward
2026-03-09 15:28:26,765 - INFO - Ep 21 | Reward: 5.0 | Cost: 0.07 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 1.1980 | Optimized: Reward
2026-03-09 15:28:26,791 - INFO - Ep 22 | Reward: 20.0 | Cost: 0.02 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.087 | Reward Term: 9.864 | Beta: 1.2079 | Optimized: Reward
2026-03-09 15:28:26,805 - INFO - Ep 23 | Reward: 5.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.096 | Reward Term: 2.467 | Beta: 1.2178 | Optimized: Reward
2026-03-09 15:28:26,819 - INFO - Ep 24 | Reward: 7.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.105 | Reward Term: 3.921 | Beta: 1.2277 | Optimized: Reward
2026-03-09 15:28:26,838 - INFO - Ep 25 | Reward: 14.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.114 | Reward Term: 7.185 | Beta: 1.2376 | Optimized: Reward
2026-03-09 15:28:26,860 - INFO - Ep 26 | Reward: 13.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.123 | Reward Term: 6.247 | Beta: 1.2475 | Optimized: Reward
2026-03-09 15:28:26,874 - INFO - Ep 27 | Reward: 6.0 | Cost: 0.06 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.132 | Reward Term: 2.950 | Beta: 1.2574 | Optimized: Reward
2026-03-09 15:28:26,884 - INFO - Ep 28 | Reward: 5.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.141 | Reward Term: 2.467 | Beta: 1.2673 | Optimized: Reward
2026-03-09 15:28:26,895 - INFO - Ep 29 | Reward: 6.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.149 | Reward Term: 3.442 | Beta: 1.2772 | Optimized: Reward
2026-03-09 15:28:26,910 - INFO - Ep 30 | Reward: 9.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.158 | Reward Term: 4.382 | Beta: 1.2871 | Optimized: Reward
2026-03-09 15:28:26,923 - INFO - Ep 31 | Reward: 6.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.167 | Reward Term: 2.950 | Beta: 1.2970 | Optimized: Reward
2026-03-09 15:28:26,940 - INFO - Ep 32 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.176 | Reward Term: 5.321 | Beta: 1.3069 | Optimized: Reward
2026-03-09 15:28:26,958 - INFO - Ep 33 | Reward: 10.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.185 | Reward Term: 4.853 | Beta: 1.3168 | Optimized: Reward
2026-03-09 15:28:26,968 - INFO - Ep 34 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.194 | Reward Term: 2.960 | Beta: 1.3267 | Optimized: Reward
2026-03-09 15:28:26,982 - INFO - Ep 35 | Reward: 8.0 | Cost: 0.02 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.3366 | Optimized: Reward
2026-03-09 15:28:27,004 - INFO - Ep 36 | Reward: 14.0 | Cost: 0.40 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.212 | Reward Term: 6.706 | Beta: 1.3465 | Optimized: Reward
2026-03-09 15:28:27,035 - INFO - Ep 37 | Reward: 21.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.221 | Reward Term: 9.832 | Beta: 1.3564 | Optimized: Reward
2026-03-09 15:28:27,049 - INFO - Ep 38 | Reward: 5.0 | Cost: 0.04 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.230 | Reward Term: 2.467 | Beta: 1.3663 | Optimized: Reward
2026-03-09 15:28:27,065 - INFO - Ep 39 | Reward: 11.0 | Cost: 0.07 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.239 | Reward Term: 5.804 | Beta: 1.3762 | Optimized: Reward
2026-03-09 15:28:27,084 - INFO - Ep 40 | Reward: 12.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.247 | Reward Term: 6.268 | Beta: 1.3861 | Optimized: Reward
2026-03-09 15:28:27,112 - INFO - Ep 41 | Reward: 20.0 | Cost: 0.35 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.256 | Reward Term: 9.864 | Beta: 1.3960 | Optimized: Reward
2026-03-09 15:28:27,129 - INFO - Ep 42 | Reward: 8.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.265 | Reward Term: 4.397 | Beta: 1.4059 | Optimized: Reward
2026-03-09 15:28:27,140 - INFO - Ep 43 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Beta: 1.4158 | Optimized: Reward
2026-03-09 15:28:27,160 - INFO - Ep 44 | Reward: 14.0 | Cost: 0.30 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.283 | Reward Term: 7.185 | Beta: 1.4257 | Optimized: Reward
2026-03-09 15:28:27,184 - INFO - Ep 45 | Reward: 16.0 | Cost: 0.29 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.292 | Reward Term: 8.089 | Beta: 1.4356 | Optimized: Reward
2026-03-09 15:28:27,203 - INFO - Ep 46 | Reward: 11.0 | Cost: 0.12 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.301 | Reward Term: 5.804 | Beta: 1.4455 | Optimized: Reward
2026-03-09 15:28:27,214 - INFO - Ep 47 | Reward: 5.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.310 | Reward Term: 2.467 | Beta: 1.4554 | Optimized: Reward
2026-03-09 15:28:27,236 - INFO - Ep 48 | Reward: 16.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.319 | Reward Term: 8.089 | Beta: 1.4653 | Optimized: Reward
2026-03-09 15:28:27,253 - INFO - Ep 49 | Reward: 9.0 | Cost: 0.13 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.328 | Reward Term: 4.869 | Beta: 1.4752 | Optimized: Reward
2026-03-09 15:28:27,271 - INFO - Ep 50 | Reward: 12.0 | Cost: 0.16 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.337 | Reward Term: 6.268 | Beta: 1.4851 | Optimized: Reward
2026-03-09 15:28:28,166 - INFO - Ep 51 | Reward: 10.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.346 | Reward Term: 5.338 | Beta: 1.4950 | Optimized: Reward
2026-03-09 15:28:28,180 - INFO - Ep 52 | Reward: 7.0 | Cost: 0.05 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.431 | Beta: 1.5049 | Optimized: Reward
2026-03-09 15:28:28,194 - INFO - Ep 53 | Reward: 7.0 | Cost: 0.24 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.363 | Reward Term: 3.431 | Beta: 1.5148 | Optimized: Reward
2026-03-09 15:28:28,209 - INFO - Ep 54 | Reward: 8.0 | Cost: 0.18 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.372 | Reward Term: 3.908 | Beta: 1.5247 | Optimized: Reward
2026-03-09 15:28:28,226 - INFO - Ep 55 | Reward: 11.0 | Cost: 0.10 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.381 | Reward Term: 5.804 | Beta: 1.5346 | Optimized: Reward
2026-03-09 15:28:28,238 - INFO - Ep 56 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.390 | Reward Term: 2.467 | Beta: 1.5445 | Optimized: Reward
2026-03-09 15:28:28,252 - INFO - Ep 57 | Reward: 9.0 | Cost: 0.26 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.399 | Reward Term: 4.869 | Beta: 1.5544 | Optimized: Reward
2026-03-09 15:28:28,263 - INFO - Ep 58 | Reward: 6.0 | Cost: 0.04 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.442 | Beta: 1.5643 | Optimized: Reward
2026-03-09 15:28:28,274 - INFO - Ep 59 | Reward: 5.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.417 | Reward Term: 2.467 | Beta: 1.5742 | Optimized: Reward
2026-03-09 15:28:28,303 - INFO - Ep 60 | Reward: 21.0 | Cost: 0.26 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.426 | Reward Term: 10.300 | Beta: 1.5841 | Optimized: Reward
2026-03-09 15:28:28,340 - INFO - Ep 61 | Reward: 24.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.435 | Reward Term: 11.129 | Beta: 1.5940 | Optimized: Reward
2026-03-09 15:28:28,361 - INFO - Ep 62 | Reward: 9.0 | Cost: 0.17 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.444 | Reward Term: 4.382 | Beta: 1.6039 | Optimized: Reward
2026-03-09 15:28:28,375 - INFO - Ep 63 | Reward: 8.0 | Cost: 0.31 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.452 | Reward Term: 4.397 | Beta: 1.6138 | Optimized: Reward
2026-03-09 15:28:28,388 - INFO - Ep 64 | Reward: 6.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.461 | Reward Term: 2.950 | Beta: 1.6237 | Optimized: Reward
2026-03-09 15:28:28,401 - INFO - Ep 65 | Reward: 8.0 | Cost: 0.09 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.470 | Reward Term: 4.397 | Beta: 1.6336 | Optimized: Reward
2026-03-09 15:28:28,416 - INFO - Ep 66 | Reward: 9.0 | Cost: 0.11 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.479 | Reward Term: 4.869 | Beta: 1.6435 | Optimized: Reward
2026-03-09 15:28:28,427 - INFO - Ep 67 | Reward: 6.0 | Cost: 0.03 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.488 | Reward Term: 3.442 | Beta: 1.6534 | Optimized: Reward
2026-03-09 15:28:28,444 - INFO - Ep 68 | Reward: 10.0 | Cost: 0.08 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.497 | Reward Term: 4.853 | Beta: 1.6633 | Optimized: Reward
2026-03-09 15:28:28,460 - INFO - Ep 69 | Reward: 9.0 | Cost: 0.29 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.506 | Reward Term: 4.382 | Beta: 1.6732 | Optimized: Reward
2026-03-09 15:28:28,479 - INFO - Ep 70 | Reward: 11.0 | Cost: 0.14 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.515 | Reward Term: 5.321 | Beta: 1.6831 | Optimized: Reward
2026-03-09 15:28:28,500 - INFO - Ep 71 | Reward: 13.0 | Cost: 0.21 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.524 | Reward Term: 6.247 | Beta: 1.6930 | Optimized: Reward
2026-03-09 15:28:28,528 - INFO - Ep 72 | Reward: 17.0 | Cost: 0.33 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.533 | Reward Term: 8.063 | Beta: 1.7029 | Optimized: Reward
2026-03-09 15:28:28,574 - INFO - Ep 73 | Reward: 33.0 | Cost: 0.22 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.542 | Reward Term: 15.319 | Beta: 1.7128 | Optimized: Reward
2026-03-09 15:28:28,603 - INFO - Ep 74 | Reward: 15.0 | Cost: 0.01 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.550 | Reward Term: 7.161 | Beta: 1.7227 | Optimized: Reward
