2026-03-09 15:43:10,072 - INFO - Ep 1 | Reward: 9.0 | Cost: 0.97 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.900 | Reward Term: 4.382 | Beta: 1.0000 | Optimized: Reward
2026-03-09 15:43:10,145 - INFO - Ep 2 | Reward: 13.0 | Cost: 0.81 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.909 | Reward Term: 6.728 | Beta: 1.0099 | Optimized: Reward
2026-03-09 15:43:10,160 - INFO - Ep 3 | Reward: 7.0 | Cost: 0.91 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.918 | Reward Term: 3.431 | Beta: 1.0198 | Optimized: Reward
2026-03-09 15:43:10,176 - INFO - Ep 4 | Reward: 10.0 | Cost: 0.52 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.927 | Reward Term: 4.853 | Beta: 1.0297 | Optimized: Reward
2026-03-09 15:43:10,198 - INFO - Ep 5 | Reward: 16.0 | Cost: 1.35 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.936 | Reward Term: 8.089 | Beta: 1.0396 | Optimized: Reward
2026-03-09 15:43:10,210 - INFO - Ep 6 | Reward: 5.0 | Cost: 0.37 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.945 | Reward Term: 2.467 | Beta: 1.0495 | Optimized: Reward
2026-03-09 15:43:10,221 - INFO - Ep 7 | Reward: 6.0 | Cost: 0.47 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.953 | Reward Term: 2.950 | Beta: 1.0594 | Optimized: Reward
2026-03-09 15:43:10,236 - INFO - Ep 8 | Reward: 10.0 | Cost: 0.89 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.962 | Reward Term: 5.338 | Beta: 1.0693 | Optimized: Reward
2026-03-09 15:43:10,249 - INFO - Ep 9 | Reward: 6.0 | Cost: 0.45 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.971 | Reward Term: 2.950 | Beta: 1.0792 | Optimized: Reward
2026-03-09 15:43:10,260 - INFO - Ep 10 | Reward: 5.0 | Cost: 0.44 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.980 | Reward Term: 2.467 | Beta: 1.0891 | Optimized: Reward
2026-03-09 15:43:10,272 - INFO - Ep 11 | Reward: 7.0 | Cost: 0.62 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.989 | Reward Term: 3.431 | Beta: 1.0990 | Optimized: Reward
2026-03-09 15:43:10,287 - INFO - Ep 12 | Reward: 9.0 | Cost: 0.85 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 0.998 | Reward Term: 4.382 | Beta: 1.1089 | Optimized: Reward
2026-03-09 15:43:10,301 - INFO - Ep 13 | Reward: 7.0 | Cost: 0.69 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.007 | Reward Term: 3.431 | Beta: 1.1188 | Optimized: Reward
2026-03-09 15:43:10,310 - INFO - Ep 14 | Reward: 5.0 | Cost: 0.53 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.016 | Reward Term: 2.960 | Beta: 1.1287 | Optimized: Reward
2026-03-09 15:43:10,327 - INFO - Ep 15 | Reward: 11.0 | Cost: 0.90 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.025 | Reward Term: 5.321 | Beta: 1.1386 | Optimized: Reward
2026-03-09 15:43:10,346 - INFO - Ep 16 | Reward: 12.0 | Cost: 0.54 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.034 | Reward Term: 5.785 | Beta: 1.1485 | Optimized: Reward
2026-03-09 15:43:10,358 - INFO - Ep 17 | Reward: 6.0 | Cost: 0.20 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.043 | Reward Term: 3.442 | Beta: 1.1584 | Optimized: Reward
2026-03-09 15:43:10,369 - INFO - Ep 18 | Reward: 6.0 | Cost: 0.36 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.051 | Reward Term: 2.950 | Beta: 1.1683 | Optimized: Reward
2026-03-09 15:43:10,379 - INFO - Ep 19 | Reward: 4.0 | Cost: 0.40 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.060 | Reward Term: 1.980 | Beta: 1.1782 | Optimized: Reward
2026-03-09 15:43:10,394 - INFO - Ep 20 | Reward: 10.0 | Cost: 0.68 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.069 | Reward Term: 5.338 | Beta: 1.1881 | Optimized: Reward
2026-03-09 15:43:10,408 - INFO - Ep 21 | Reward: 9.0 | Cost: 0.70 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.078 | Reward Term: 4.869 | Beta: 1.1980 | Optimized: Reward
2026-03-09 15:43:10,419 - INFO - Ep 22 | Reward: 4.0 | Cost: 0.19 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.087 | Reward Term: 1.980 | Beta: 1.2079 | Optimized: Reward
2026-03-09 15:43:10,433 - INFO - Ep 23 | Reward: 9.0 | Cost: 0.40 | V_L(pi): 1.000 | Penalty: 0.900 | Beta x Penalty: 1.096 | Reward Term: 4.382 | Beta: 1.2178 | Optimized: Reward
