2026-03-09 16:09:29,355 - INFO - Ep 1 | Reward: 31.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 14.056 | Beta: 1.0000 | Optimized: Reward
2026-03-09 16:09:29,427 - INFO - Ep 2 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 1.980 | Beta: 1.0099 | Optimized: Reward
2026-03-09 16:09:29,446 - INFO - Ep 3 | Reward: 12.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.785 | Beta: 1.0198 | Optimized: Reward
2026-03-09 16:09:29,467 - INFO - Ep 4 | Reward: 12.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.785 | Beta: 1.0297 | Optimized: Reward
2026-03-09 16:09:29,478 - INFO - Ep 5 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.960 | Beta: 1.0396 | Optimized: Reward
2026-03-09 16:09:29,492 - INFO - Ep 6 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.869 | Beta: 1.0495 | Optimized: Reward
2026-03-09 16:09:29,503 - INFO - Ep 7 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 1.0594 | Optimized: Reward
2026-03-09 16:09:29,520 - INFO - Ep 8 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.321 | Beta: 1.0693 | Optimized: Reward
2026-03-09 16:09:29,538 - INFO - Ep 9 | Reward: 11.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 5.804 | Beta: 1.0792 | Optimized: Reward
2026-03-09 16:09:29,549 - INFO - Ep 10 | Reward: 4.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 1.980 | Beta: 1.0891 | Optimized: Reward
2026-03-09 16:09:29,561 - INFO - Ep 11 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.397 | Beta: 1.0990 | Optimized: Reward
2026-03-09 16:09:29,573 - INFO - Ep 12 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.950 | Beta: 1.1089 | Optimized: Reward
2026-03-09 16:09:29,584 - INFO - Ep 13 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 2.467 | Beta: 1.1188 | Optimized: Reward
2026-03-09 16:09:29,600 - INFO - Ep 14 | Reward: 9.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 4.382 | Beta: 1.1287 | Optimized: Reward
2026-03-09 16:09:29,627 - INFO - Ep 15 | Reward: 18.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 8.983 | Beta: 1.1386 | Optimized: Reward
2026-03-09 16:09:29,659 - INFO - Ep 16 | Reward: 22.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 10.734 | Beta: 1.1485 | Optimized: Reward
2026-03-09 16:09:29,677 - INFO - Ep 17 | Reward: 8.0 | Cost: 0.00 | V_L(pi): 0.000 | Penalty: 0.000 | Beta x Penalty: 0.000 | Reward Term: 3.908 | Beta: 1.1584 | Optimized: Reward
