2026-03-09 12:25:31,907 - INFO - Step 1200 | Reward: 21.0 | Cost: 5.00 | V_L(pi): 1.000 | Actor Loss: 3.367 | Best Reward (under safety): 26.0
2026-03-09 12:25:36,953 - INFO - Step 4400 | Reward: 28.0 | Cost: 10.00 | V_L(pi): 1.000 | Actor Loss: 1.783 | Best Reward (under safety): 47.0
2026-03-09 12:25:39,641 - INFO - Step 6000 | Reward: 71.0 | Cost: 22.00 | V_L(pi): 1.000 | Actor Loss: 5.686 | Best Reward (under safety): 71.0
2026-03-09 12:25:40,643 - INFO - Step 6400 | Reward: 36.0 | Cost: 16.00 | V_L(pi): 1.000 | Actor Loss: 0.925 | Best Reward (under safety): 87.0
2026-03-09 12:25:41,338 - INFO - Step 6500 | Reward: 40.0 | Cost: 22.00 | V_L(pi): 1.000 | Actor Loss: 0.804 | Best Reward (under safety): 87.0
2026-03-09 12:25:42,898 - INFO - Step 7200 | Reward: 29.0 | Cost: 4.00 | V_L(pi): 1.000 | Actor Loss: -2.744 | Best Reward (under safety): 121.0
2026-03-09 12:25:48,484 - INFO - Step 10800 | Reward: 98.0 | Cost: 43.00 | V_L(pi): 1.000 | Actor Loss: 5.989 | Best Reward (under safety): 121.0
2026-03-09 12:26:05,369 - INFO - Step 22800 | Reward: 93.0 | Cost: 58.00 | V_L(pi): 1.000 | Actor Loss: 2.017 | Best Reward (under safety): 167.0
2026-03-09 12:26:12,768 - INFO - Step 27600 | Reward: 57.0 | Cost: 42.00 | V_L(pi): 1.000 | Actor Loss: -0.552 | Best Reward (under safety): 167.0
2026-03-09 12:26:41,172 - INFO - Step 48200 | Reward: 49.0 | Cost: 28.00 | V_L(pi): 1.000 | Actor Loss: -3.914 | Best Reward (under safety): 167.0
2026-03-09 12:26:45,691 - INFO - Step 50700 | Reward: 86.0 | Cost: 30.00 | V_L(pi): 1.000 | Actor Loss: -1.703 | Best Reward (under safety): 167.0
2026-03-09 12:27:19,298 - INFO - Step 74900 | Reward: 58.0 | Cost: 36.00 | V_L(pi): 1.000 | Actor Loss: -2.476 | Best Reward (under safety): 167.0
2026-03-09 12:27:53,856 - INFO - Step 100000 | Reward: 25.0 | Cost: 4.00 | V_L(pi): 1.000 | Actor Loss: -6.230 | Best Reward (under safety): 167.0
