2026-03-09 12:00:48,647 - INFO - Step 100 | Reward: 6.0 | Cost: 1.00 | V_L(pi): 1.000 | Actor Loss: 2.427 | Best Reward (under safety): 20.0
2026-03-09 12:00:49,377 - INFO - Step 300 | Reward: 5.0 | Cost: 0.00 | V_L(pi): 0.000 | Actor Loss: 1.450 | Best Reward (under safety): 20.0
2026-03-09 12:00:50,448 - INFO - Step 700 | Reward: 7.0 | Cost: 2.00 | V_L(pi): 1.000 | Actor Loss: 0.904 | Best Reward (under safety): 27.0
2026-03-09 12:00:51,057 - INFO - Step 800 | Reward: 6.0 | Cost: 0.00 | V_L(pi): 1.000 | Actor Loss: 0.670 | Best Reward (under safety): 27.0
2026-03-09 12:00:54,799 - INFO - Step 3000 | Reward: 28.0 | Cost: 5.00 | V_L(pi): 1.000 | Actor Loss: 3.524 | Best Reward (under safety): 46.0
2026-03-09 12:00:58,691 - INFO - Step 5300 | Reward: 41.0 | Cost: 4.00 | V_L(pi): 1.000 | Actor Loss: 4.054 | Best Reward (under safety): 54.0
2026-03-09 12:01:02,251 - INFO - Step 7400 | Reward: 9.0 | Cost: 4.00 | V_L(pi): 1.000 | Actor Loss: -4.251 | Best Reward (under safety): 92.0
2026-03-09 12:01:05,682 - INFO - Step 9300 | Reward: 50.0 | Cost: 6.00 | V_L(pi): 1.000 | Actor Loss: -0.308 | Best Reward (under safety): 129.0
2026-03-09 12:01:18,146 - INFO - Step 17800 | Reward: 49.0 | Cost: 18.00 | V_L(pi): 1.000 | Actor Loss: -0.168 | Best Reward (under safety): 153.0
2026-03-09 12:01:21,734 - INFO - Step 19800 | Reward: 62.0 | Cost: 26.00 | V_L(pi): 1.000 | Actor Loss: 0.536 | Best Reward (under safety): 156.0
2026-03-09 12:01:22,977 - INFO - Step 20000 | Reward: 63.0 | Cost: 36.00 | V_L(pi): 1.000 | Actor Loss: -0.234 | Best Reward (under safety): 156.0
2026-03-09 12:02:03,402 - INFO - Step 48200 | Reward: 122.0 | Cost: 92.00 | V_L(pi): 1.000 | Actor Loss: 3.111 | Best Reward (under safety): 167.0
2026-03-09 12:02:09,007 - INFO - Step 51400 | Reward: 90.0 | Cost: 26.00 | V_L(pi): 1.000 | Actor Loss: -2.573 | Best Reward (under safety): 167.0
2026-03-09 12:02:31,913 - INFO - Step 67600 | Reward: 167.0 | Cost: 73.00 | V_L(pi): 1.000 | Actor Loss: 1.214 | Best Reward (under safety): 167.0
2026-03-09 12:02:34,882 - INFO - Step 68800 | Reward: 78.0 | Cost: 16.00 | V_L(pi): 1.000 | Actor Loss: -5.132 | Best Reward (under safety): 167.0
2026-03-09 12:02:38,544 - INFO - Step 70500 | Reward: 167.0 | Cost: 65.00 | V_L(pi): 1.000 | Actor Loss: 1.773 | Best Reward (under safety): 167.0
2026-03-09 12:02:42,934 - INFO - Step 72700 | Reward: 83.0 | Cost: 49.00 | V_L(pi): 1.000 | Actor Loss: -2.012 | Best Reward (under safety): 167.0
2026-03-09 12:03:13,805 - INFO - Step 93500 | Reward: 155.0 | Cost: 92.00 | V_L(pi): 1.000 | Actor Loss: 1.000 | Best Reward (under safety): 167.0
2026-03-09 12:03:24,516 - INFO - Step 100000 | Reward: 47.0 | Cost: 0.00 | V_L(pi): 1.000 | Actor Loss: -9.427 | Best Reward (under safety): 167.0
