n0050
Sun Sep 20 10:22:59 AM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 1 seed= 6 env= HumanoidWithCost
env=HumanoidWithCost
state_dim=376
action_dim=17
max_action=0.4000000059604645
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4985.192675512901 	 evaluate_cost:0.03369031301311528 	 evaluate_max_cost:0.0001015852831187658
New best model found! Saving model with reward: 4985.192675512901 and max cost: 0.0001015852831187658
lambda=0.00000, eps=1.00000, pred_cost=1.69797, p_value=0.83237, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=2.65752, p_value=0.89717, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=3.38024, p_value=0.92673, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=4.26840, p_value=0.95592, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=4.99190, p_value=0.97050, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=5.93753, p_value=0.98271, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=6.87928, p_value=0.98685, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=7.55114, p_value=0.99089, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=8.31887, p_value=0.99425, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=8.96422, p_value=0.99556, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=9.93932, p_value=0.99728, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=10.90866, p_value=0.99789, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=11.89792, p_value=0.99799, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=13.19328, p_value=0.99872, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=14.39581, p_value=0.99910, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=15.20749, p_value=0.99912, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=16.37109, p_value=0.99928, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=17.58168, p_value=0.99942, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=18.42367, p_value=0.99944, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=19.29406, p_value=0.99949, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=20.62043, p_value=0.99940, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=22.09877, p_value=0.99955, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=23.47283, p_value=0.99959, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=24.99530, p_value=0.99961, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=25.93373, p_value=0.99964, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=27.83628, p_value=0.99963, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=29.41679, p_value=0.99966, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=30.00552, p_value=0.99972, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=31.58824, p_value=0.99974, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=33.34312, p_value=0.99974, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=34.88597, p_value=0.99973, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=36.76647, p_value=0.99973, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=39.21746, p_value=0.99976, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=41.04159, p_value=0.99973, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=43.49258, p_value=0.99974, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=46.10592, p_value=0.99976, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=48.72947, p_value=0.99975, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=50.87487, p_value=0.99977, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=54.06973, p_value=0.99979, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=56.82312, p_value=0.99978, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=59.01301, p_value=0.99976, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=62.90700, p_value=0.99972, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=64.87726, p_value=0.99978, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=69.32644, p_value=0.99978, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=71.74807, p_value=0.99976, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=76.65349, p_value=0.99979, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=80.19833, p_value=0.99980, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=84.28717, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=91.18807, p_value=0.99980, constraint_value=0.00000, constraint_violation=0.00000
evaluate_num:2 	 evaluate_reward:4957.64744846616 	 evaluate_cost:2.6735391709953547 	 evaluate_max_cost:0.004132414702326059
lambda=0.00000, eps=1.00000, pred_cost=95.22273, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=98.60040, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=101.62482, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=109.21494, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=113.14974, p_value=0.99978, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=120.64361, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=125.83636, p_value=0.99982, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=126.26642, p_value=0.99981, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=131.45950, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=138.14529, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=143.06204, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
lambda=0.00000, eps=1.00000, pred_cost=148.47888, p_value=0.99983, constraint_value=0.00000, constraint_violation=0.00000
