n0013
Wed Sep 23 08:19:09 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 110 seed= 5 env= SafetyCarCircle2-v0 k_epochs 5
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
SafetyCircleMargin: Using safety_clearance=0.3000
env_id=SafetyCarCircle2-v0
state_dim=40
action_dim=2
max_action=1.0
max_episode_steps=500
Using device: cpu
SafetyCircleMargin: Using safety_clearance=0.3000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:0.11544023192949308 	 evaluate_cost:21.634301653730716 	 evaluate_max_cost:0.9980825409818422
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.5200914740562439 0.2 0.32009148597717285
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0449435710906982 0.2 0.8449435830116272
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8852236270904541 0.2 0.6852236390113831
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9142215251922607 0.2 0.7142215371131897
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8618807196617126 0.2 0.6618807315826416
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9514512419700623 0.2 0.7514512538909912
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9083103537559509 0.2 0.7083103656768799
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9094046354293823 0.2 0.7094046473503113
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.901174783706665 0.2 0.701174795627594
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8826754689216614 0.2 0.6826754808425903
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8986470103263855 0.2 0.6986470222473145
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9091259837150574 0.2 0.7091259956359863
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9239547252655029 0.2 0.7239547371864319
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9458694458007812 0.2 0.7458694577217102
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9460890889167786 0.2 0.7460891008377075
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0443285703659058 0.2 0.8443285822868347
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0393152236938477 0.2 0.8393152356147766
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0113205909729004 0.2 0.8113206028938293
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9773990511894226 0.2 0.7773990631103516
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9810073971748352 0.2 0.7810074090957642
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0363696813583374 0.2 0.8363696932792664
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0283761024475098 0.2 0.8283761143684387
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.0146539211273193 0.2 0.8146539330482483
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 1.004219651222229 0.2 0.804219663143158
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9943754076957703 0.2 0.7943754196166992
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9176385402679443 0.2 0.7176385521888733
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.9008325338363647 0.2 0.7008325457572937
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8891497254371643 0.2 0.6891497373580933
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8969175219535828 0.2 0.6969175338745117
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8982264995574951 0.2 0.6982265114784241
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.8817245364189148 0.2 0.6817245483398438
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 0.874296247959137 0.2 0.6742962598800659
