Step,Penalty,Beta x Penalty,Reward Return/Lambda,Optimized
5,0.000,0.000,1.980,Reward
13,0.000,0.000,3.431,Reward
32,0.000,0.000,9.425,Reward
41,0.000,0.000,3.908,Reward
50,0.000,0.000,4.869,Reward
57,0.000,0.000,2.950,Reward
63,0.000,0.000,2.467,Reward
71,0.000,0.000,3.431,Reward
79,0.000,0.000,3.431,Reward
97,0.000,0.000,8.063,Reward
107,0.000,0.000,4.382,Reward
123,0.000,0.000,8.089,Reward
137,0.000,0.000,6.247,Reward
152,0.000,0.000,6.706,Reward
156,0.000,0.000,2.475,Reward
161,0.000,0.000,2.960,Reward
169,0.000,0.000,3.431,Reward
180,0.000,0.000,4.853,Reward
191,0.000,0.000,4.853,Reward
199,0.000,0.000,3.431,Reward
205,0.000,0.000,3.442,Reward
216,0.000,0.000,5.804,Reward
223,0.000,0.000,2.950,Reward
229,0.000,0.000,3.442,Reward
236,0.000,0.000,3.921,Reward
243,0.000,0.000,3.921,Reward
250,0.000,0.000,2.950,Reward
257,0.000,0.000,2.950,Reward
264,0.000,0.000,2.950,Reward
272,0.000,0.000,3.431,Reward
292,0.000,0.000,8.953,Reward
304,0.000,0.000,6.268,Reward
319,0.000,0.000,6.706,Reward
331,0.000,0.000,6.268,Reward
337,0.000,0.000,2.467,Reward
343,0.000,0.000,3.442,Reward
355,0.000,0.000,6.268,Reward
365,0.000,0.000,4.382,Reward
379,0.000,0.000,6.247,Reward
392,0.000,0.000,5.785,Reward
399,0.000,0.000,2.950,Reward
407,0.000,0.000,3.431,Reward
421,0.000,0.000,7.185,Reward
430,0.000,0.000,3.908,Reward
442,0.000,0.000,5.321,Reward
449,0.000,0.000,2.950,Reward
457,0.000,0.000,4.397,Reward
480,0.000,0.000,10.267,Reward
488,0.000,0.000,3.431,Reward
497,0.000,0.000,3.908,Reward
504,0.000,0.000,3.921,Reward
512,0.000,0.000,4.397,Reward
531,0.000,0.000,8.510,Reward
548,0.000,0.000,7.614,Reward
556,0.000,0.000,3.431,Reward
567,0.000,0.000,4.853,Reward
586,0.000,0.000,8.510,Reward
598,0.000,0.000,6.268,Reward
609,0.000,0.000,5.804,Reward
616,0.000,0.000,3.921,Reward
629,0.000,0.000,5.785,Reward
645,0.000,0.000,8.089,Reward
655,0.000,0.000,5.338,Reward
667,0.000,0.000,5.321,Reward
676,0.000,0.000,4.869,Reward
684,0.000,0.000,3.431,Reward
696,0.000,0.000,6.268,Reward
704,0.000,0.000,3.431,Reward
710,0.000,0.000,3.442,Reward
716,0.000,0.000,2.467,Reward
732,0.000,0.000,8.089,Reward
739,0.000,0.000,3.921,Reward
754,0.000,0.000,7.639,Reward
763,0.000,0.000,3.908,Reward
773,0.000,0.000,5.338,Reward
782,0.000,0.000,3.908,Reward
790,0.000,0.000,4.397,Reward
802,0.000,0.000,5.321,Reward
808,0.000,0.000,2.467,Reward
829,0.000,0.000,9.394,Reward
840,0.000,0.000,4.853,Reward
865,0.000,0.000,11.129,Reward
875,0.000,0.000,5.338,Reward
886,0.000,0.000,5.804,Reward
899,0.000,0.000,6.728,Reward
905,0.000,0.000,2.467,Reward
924,0.000,0.000,9.425,Reward
935,0.000,0.000,4.853,Reward
962,0.000,0.000,11.979,Reward
971,0.000,0.000,3.908,Reward
979,0.000,0.000,3.431,Reward
994,0.000,0.000,7.639,Reward
1010,0.000,0.000,7.161,Reward
1021,0.000,0.000,5.804,Reward
1034,0.000,0.000,5.785,Reward
1046,0.000,0.000,6.268,Reward
1055,0.000,0.000,3.908,Reward
1063,0.000,0.000,3.431,Reward
1072,0.000,0.000,3.908,Reward
1086,0.000,0.000,6.247,Reward
1103,0.000,0.000,8.538,Reward
1111,0.000,0.000,3.431,Reward
1122,0.000,0.000,5.804,Reward
1128,0.000,0.000,2.467,Reward
1134,0.000,0.000,3.442,Reward
1142,0.000,0.000,4.397,Reward
1150,0.000,0.000,4.397,Reward
1168,0.000,0.000,8.983,Reward
1178,0.000,0.000,4.382,Reward
1200,0.000,0.000,9.832,Reward
1217,0.000,0.000,8.538,Reward
1228,0.000,0.000,5.804,Reward
1236,0.000,0.000,4.397,Reward
1248,0.000,0.000,5.321,Reward
1278,0.000,0.000,13.233,Reward
1288,0.000,0.000,5.338,Reward
1306,0.000,0.000,8.983,Reward
1319,0.000,0.000,6.728,Reward
1333,0.000,0.000,6.247,Reward
1344,0.000,0.000,4.853,Reward
1351,0.000,0.000,2.950,Reward
1375,0.000,0.000,10.699,Reward
1385,0.000,0.000,4.382,Reward
1419,0.000,0.000,14.869,Reward
1425,0.000,0.000,3.442,Reward
1443,0.000,0.000,8.063,Reward
1451,0.000,0.000,3.431,Reward
1462,0.000,0.000,4.853,Reward
1470,0.000,0.000,4.397,Reward
1498,0.000,0.000,12.400,Reward
1505,0.000,0.000,2.950,Reward
1517,0.000,0.000,6.268,Reward
1529,0.000,0.000,5.321,Reward
1537,0.000,0.000,3.431,Reward
1549,0.000,0.000,6.268,Reward
1557,0.000,0.000,3.431,Reward
1576,0.000,0.000,8.510,Reward
1584,0.000,0.000,3.431,Reward
1597,0.000,0.000,6.728,Reward
1613,0.000,0.000,8.089,Reward
1619,0.000,0.000,2.467,Reward
1627,0.000,0.000,4.397,Reward
1633,0.000,0.000,3.442,Reward
1646,0.000,0.000,6.728,Reward
1654,0.000,0.000,4.397,Reward
1664,0.000,0.000,5.338,Reward
1686,0.000,0.000,9.832,Reward
1715,0.000,0.000,12.818,Reward
1727,0.000,0.000,5.321,Reward
1733,0.000,0.000,2.467,Reward
1755,0.000,0.000,9.832,Reward
1770,0.000,0.000,6.706,Reward
1781,0.000,0.000,4.853,Reward
1793,0.000,0.000,5.321,Reward
1804,0.000,0.000,4.853,Reward
1829,0.000,0.000,11.129,Reward
1843,0.000,0.000,6.247,Reward
1862,0.000,0.000,8.510,Reward
1869,0.000,0.000,2.950,Reward
1879,0.000,0.000,5.338,Reward
1891,0.000,0.000,5.321,Reward
1902,0.000,0.000,4.853,Reward
1922,0.000,0.000,8.953,Reward
1934,0.000,0.000,5.321,Reward
1949,0.000,0.000,7.639,Reward
1965,0.000,0.000,8.089,Reward
1977,0.000,0.000,6.268,Reward
1989,0.000,0.000,5.321,Reward
2020,0.000,0.000,14.510,Reward
2039,0.000,0.000,8.510,Reward
2073,0.000,0.000,14.869,Reward
2088,0.000,0.000,7.639,Reward
2106,0.000,0.000,8.983,Reward
2117,0.000,0.000,5.804,Reward
2125,0.000,0.000,3.431,Reward
2156,0.000,0.000,14.510,Reward
2179,0.000,0.000,10.267,Reward
2192,0.000,0.000,6.728,Reward
2202,0.000,0.000,5.338,Reward
2211,0.000,0.000,4.869,Reward
2223,0.000,0.000,5.321,Reward
2237,0.000,0.000,7.185,Reward
2249,0.000,0.000,5.321,Reward
2260,0.000,0.000,4.853,Reward
2270,0.000,0.000,5.338,Reward
2288,0.000,0.000,8.063,Reward
2304,0.000,0.000,7.161,Reward
2321,0.000,0.000,7.614,Reward
2338,0.000,0.000,7.614,Reward
2356,0.000,0.000,8.063,Reward
2371,0.000,0.000,6.706,Reward
2386,0.000,0.000,6.706,Reward
2394,0.000,0.000,3.431,Reward
2411,0.000,0.000,7.614,Reward
2426,0.000,0.000,7.639,Reward
2442,0.000,0.000,7.161,Reward
2457,0.000,0.000,7.639,Reward
2468,0.000,0.000,4.853,Reward
2475,0.000,0.000,2.950,Reward
2489,0.000,0.000,6.247,Reward
2495,0.000,0.000,3.442,Reward
2502,0.000,0.000,2.950,Reward
2514,0.000,0.000,6.268,Reward
2528,0.000,0.000,7.185,Reward
2546,0.000,0.000,8.063,Reward
2556,0.000,0.000,4.382,Reward
2566,0.000,0.000,5.338,Reward
2580,0.000,0.000,6.247,Reward
2589,0.000,0.000,3.908,Reward
2622,0.000,0.000,14.464,Reward
2636,0.000,0.000,6.247,Reward
2646,0.000,0.000,4.382,Reward
2663,0.000,0.000,7.614,Reward
2697,0.000,0.000,15.720,Reward
2738,0.000,0.000,18.453,Reward
2759,0.000,0.000,9.394,Reward
2790,0.000,0.000,13.646,Reward
2803,0.000,0.000,5.785,Reward
2816,0.000,0.000,5.785,Reward
2843,0.000,0.000,11.979,Reward
2879,0.000,0.000,15.670,Reward
2887,0.000,0.000,4.397,Reward
2909,0.000,0.000,9.832,Reward
2920,0.000,0.000,4.853,Reward
2933,0.000,0.000,5.785,Reward
2950,0.000,0.000,7.614,Reward
2991,0.000,0.000,17.630,Reward
2999,0.000,0.000,4.397,Reward
3023,0.000,0.000,10.699,Reward
3053,0.000,0.000,13.233,Reward
3067,0.000,0.000,6.247,Reward
3085,0.000,0.000,8.063,Reward
3103,0.000,0.000,8.983,Reward
3121,0.000,0.000,8.063,Reward
3132,0.000,0.000,5.804,Reward
3175,0.000,0.000,18.396,Reward
3188,0.000,0.000,6.728,Reward
3223,0.000,0.000,16.118,Reward
3239,0.000,0.000,8.089,Reward
3253,0.000,0.000,6.247,Reward
3262,0.000,0.000,3.908,Reward
3273,0.000,0.000,4.853,Reward
3302,0.000,0.000,12.818,Reward
3315,0.000,0.000,5.785,Reward
3340,0.000,0.000,12.017,Reward
3357,0.000,0.000,8.538,Reward
3373,0.000,0.000,7.161,Reward
3403,0.000,0.000,14.101,Reward
3418,0.000,0.000,6.706,Reward
3427,0.000,0.000,4.869,Reward
3442,0.000,0.000,6.706,Reward
3449,0.000,0.000,3.921,Reward
3465,0.000,0.000,7.161,Reward
3491,0.000,0.000,12.440,Reward
3533,0.000,0.000,18.014,Reward
3552,0.000,0.000,8.510,Reward
3576,0.000,0.000,11.592,Reward
3604,0.000,0.000,12.400,Reward
3617,0.000,0.000,5.785,Reward
3633,0.000,0.000,7.161,Reward
3668,0.000,0.000,15.271,Reward
3688,0.000,0.000,8.953,Reward
3699,0.000,0.000,4.853,Reward
3729,0.000,0.000,13.233,Reward
3754,0.000,0.000,12.017,Reward
3761,0.000,0.000,2.950,Reward
3787,0.000,0.000,12.440,Reward
3807,0.000,0.000,8.953,Reward
3821,0.000,0.000,6.247,Reward
