episode,episode_steps,cumulative_steps
0,500,500
1,500,1000
2,500,1500
3,500,2000
4,500,2500
5,500,3000
6,500,3500
7,500,4000
8,500,4500
9,500,5000
10,500,5500
11,500,6000
12,500,6500
13,500,7000
14,500,7500
15,500,8000
16,500,8500
17,500,9000
18,500,9500
19,500,10000
20,500,10500
21,500,11000
22,500,11500
23,500,12000
24,500,12500
25,500,13000
26,500,13500
27,500,14000
28,500,14500
29,500,15000
30,500,15500
31,500,16000
32,500,16500
33,500,17000
34,500,17500
35,500,18000
36,500,18500
37,500,19000
38,500,19500
39,500,20000
40,500,20500
41,500,21000
42,500,21500
43,500,22000
44,500,22500
45,500,23000
46,500,23500
47,500,24000
48,500,24500
49,500,25000
50,500,25500
51,500,26000
52,500,26500
53,500,27000
54,500,27500
55,500,28000
56,500,28500
57,500,29000
58,500,29500
59,500,30000
60,500,30500
61,500,31000
62,500,31500
63,500,32000
64,500,32500
65,500,33000
66,500,33500
67,500,34000
68,500,34500
69,500,35000
70,500,35500
71,500,36000
72,500,36500
73,500,37000
74,500,37500
75,500,38000
76,500,38500
77,500,39000
78,500,39500
79,500,40000
80,500,40500
81,500,41000
82,500,41500
83,500,42000
84,500,42500
85,500,43000
86,500,43500
87,500,44000
88,500,44500
89,500,45000
90,500,45500
91,500,46000
92,500,46500
93,500,47000
94,500,47500
95,500,48000
96,500,48500
97,500,49000
98,500,49500
99,500,50000
100,500,50500
101,500,51000
102,500,51500
103,500,52000
104,500,52500
105,500,53000
106,500,53500
107,500,54000
108,500,54500
109,500,55000
110,500,55500
111,500,56000
112,500,56500
113,500,57000
114,500,57500
115,500,58000
116,500,58500
117,500,59000
118,500,59500
119,500,60000
120,500,60500
121,500,61000
122,500,61500
123,500,62000
124,500,62500
125,500,63000
126,500,63500
127,500,64000
128,500,64500
129,500,65000
130,500,65500
131,500,66000
132,500,66500
133,500,67000
134,500,67500
135,500,68000
136,500,68500
137,500,69000
138,500,69500
139,500,70000
140,500,70500
141,500,71000
142,500,71500
143,500,72000
144,500,72500
145,500,73000
146,500,73500
147,500,74000
148,500,74500
149,500,75000
150,500,75500
151,500,76000
152,500,76500
153,500,77000
154,500,77500
155,500,78000
156,500,78500
157,500,79000
158,500,79500
159,500,80000
160,500,80500
161,500,81000
162,500,81500
163,500,82000
164,500,82500
165,500,83000
166,500,83500
167,500,84000
168,500,84500
169,500,85000
170,500,85500
171,500,86000
172,500,86500
173,500,87000
174,500,87500
175,500,88000
176,500,88500
177,500,89000
178,500,89500
179,500,90000
180,500,90500
181,500,91000
182,500,91500
183,500,92000
184,500,92500
185,500,93000
186,500,93500
187,500,94000
188,500,94500
189,500,95000
190,500,95500
191,500,96000
192,500,96500
193,500,97000
194,500,97500
195,500,98000
196,500,98500
197,500,99000
198,500,99500
199,500,100000
200,500,100500
201,500,101000
202,500,101500
203,500,102000
204,500,102500
205,500,103000
206,500,103500
207,500,104000
208,500,104500
209,500,105000
210,500,105500
211,500,106000
212,500,106500
213,500,107000
214,500,107500
215,500,108000
216,500,108500
217,500,109000
218,500,109500
219,500,110000
220,500,110500
221,500,111000
222,500,111500
223,500,112000
224,500,112500
225,500,113000
226,500,113500
227,500,114000
228,500,114500
229,500,115000
230,500,115500
231,500,116000
232,500,116500
233,500,117000
234,500,117500
235,500,118000
236,500,118500
237,500,119000
238,500,119500
239,500,120000
240,500,120500
241,500,121000
242,500,121500
243,500,122000
244,500,122500
245,500,123000
246,500,123500
247,500,124000
248,500,124500
249,500,125000
250,500,125500
251,500,126000
252,500,126500
253,500,127000
254,500,127500
255,500,128000
256,500,128500
257,500,129000
258,500,129500
259,500,130000
260,500,130500
261,500,131000
262,500,131500
263,500,132000
264,500,132500
265,500,133000
266,500,133500
267,500,134000
268,500,134500
269,500,135000
270,500,135500
271,500,136000
272,500,136500
273,500,137000
274,500,137500
275,500,138000
276,500,138500
277,500,139000
278,500,139500
279,500,140000
280,500,140500
281,500,141000
282,500,141500
283,500,142000
284,500,142500
285,500,143000
286,500,143500
287,500,144000
288,500,144500
289,500,145000
290,500,145500
291,500,146000
292,500,146500
293,500,147000
294,500,147500
295,500,148000
296,500,148500
297,500,149000
298,500,149500
299,500,150000
300,500,150500
301,500,151000
302,500,151500
303,500,152000
304,500,152500
305,500,153000
306,500,153500
307,500,154000
308,500,154500
309,500,155000
310,500,155500
311,500,156000
312,500,156500
313,500,157000
314,500,157500
315,500,158000
316,500,158500
317,500,159000
318,500,159500
319,500,160000
320,500,160500
321,500,161000
322,500,161500
323,500,162000
324,500,162500
325,500,163000
326,500,163500
327,500,164000
328,500,164500
329,500,165000
330,500,165500
331,500,166000
332,500,166500
333,500,167000
334,500,167500
335,500,168000
336,500,168500
337,500,169000
338,500,169500
339,500,170000
340,500,170500
341,500,171000
342,500,171500
343,500,172000
344,500,172500
345,500,173000
346,500,173500
347,500,174000
348,500,174500
349,500,175000
350,500,175500
351,500,176000
352,500,176500
353,500,177000
354,500,177500
355,500,178000
356,500,178500
357,500,179000
358,500,179500
359,500,180000
360,500,180500
361,500,181000
362,500,181500
363,500,182000
364,500,182500
365,500,183000
366,500,183500
367,500,184000
368,500,184500
369,500,185000
370,500,185500
371,500,186000
372,500,186500
373,500,187000
374,500,187500
375,500,188000
376,500,188500
377,500,189000
378,500,189500
379,500,190000
380,500,190500
381,500,191000
382,500,191500
383,500,192000
384,500,192500
385,500,193000
386,500,193500
387,500,194000
388,500,194500
389,500,195000
390,500,195500
391,500,196000
392,500,196500
393,500,197000
394,500,197500
395,500,198000
396,500,198500
397,500,199000
398,500,199500
399,500,200000
400,500,200500
401,500,201000
402,500,201500
403,500,202000
404,500,202500
405,500,203000
406,500,203500
407,500,204000
408,500,204500
409,500,205000
410,500,205500
411,500,206000
412,500,206500
413,500,207000
414,500,207500
415,500,208000
416,500,208500
417,500,209000
418,500,209500
419,500,210000
420,500,210500
421,500,211000
422,500,211500
423,500,212000
424,500,212500
425,500,213000
426,500,213500
427,500,214000
428,500,214500
429,500,215000
430,500,215500
431,500,216000
432,500,216500
433,500,217000
434,500,217500
435,500,218000
436,500,218500
437,500,219000
438,500,219500
439,500,220000
440,500,220500
441,500,221000
442,500,221500
443,500,222000
444,500,222500
445,500,223000
446,500,223500
447,500,224000
448,500,224500
449,500,225000
450,500,225500
451,500,226000
452,500,226500
453,500,227000
454,500,227500
455,500,228000
456,500,228500
457,500,229000
458,500,229500
459,500,230000
460,500,230500
461,500,231000
462,500,231500
463,500,232000
464,500,232500
465,500,233000
466,500,233500
467,500,234000
468,500,234500
469,500,235000
470,500,235500
471,500,236000
472,500,236500
473,500,237000
474,500,237500
475,500,238000
476,500,238500
477,500,239000
478,500,239500
479,500,240000
480,500,240500
481,500,241000
482,500,241500
483,500,242000
484,500,242500
485,500,243000
486,500,243500
487,500,244000
488,500,244500
489,500,245000
490,500,245500
491,500,246000
492,500,246500
493,500,247000
494,500,247500
495,500,248000
496,500,248500
497,500,249000
498,500,249500
499,500,250000
500,500,250500
501,500,251000
502,500,251500
503,500,252000
504,500,252500
505,500,253000
506,500,253500
507,500,254000
508,500,254500
509,500,255000
510,500,255500
511,500,256000
512,500,256500
513,500,257000
514,500,257500
515,500,258000
516,500,258500
517,500,259000
518,500,259500
519,500,260000
520,500,260500
521,500,261000
522,500,261500
523,500,262000
524,500,262500
525,500,263000
526,500,263500
527,500,264000
528,500,264500
529,500,265000
530,500,265500
531,500,266000
532,500,266500
533,500,267000
534,500,267500
535,500,268000
536,500,268500
537,500,269000
538,500,269500
539,500,270000
540,500,270500
541,500,271000
542,500,271500
543,500,272000
544,500,272500
545,500,273000
546,500,273500
547,500,274000
548,500,274500
549,500,275000
550,500,275500
551,500,276000
552,500,276500
553,500,277000
554,500,277500
555,500,278000
556,500,278500
557,500,279000
558,500,279500
559,500,280000
560,500,280500
561,500,281000
562,500,281500
563,500,282000
564,500,282500
565,500,283000
566,500,283500
567,500,284000
568,500,284500
569,500,285000
570,500,285500
571,500,286000
572,500,286500
573,500,287000
574,500,287500
575,500,288000
576,500,288500
577,500,289000
578,500,289500
579,500,290000
580,500,290500
581,500,291000
582,500,291500
583,500,292000
584,500,292500
